SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1996217N16111,LISA,1996-08-06 06:00:00,21.5,116.1,137,40.0,, , , , ,,3
1996217N16111,LISA,1996-08-06 09:00:00,22.4,116.6,56,38.0,, , , , ,,3
1996217N16111,LISA,1996-08-06 12:00:00,23.2,117.1,30,35.0,, , , , ,,2
1996217N16111,LISA,1996-08-06 15:00:00,23.8,117.5,0,33.0,, , , , ,,2
1996217N16111,LISA,1996-08-06 18:00:00,24.2,117.7,0,30.0,, , , , ,,2
1996217N16111,LISA,1996-08-06 21:00:00,24.6,117.8,0,30.0,, , , , ,,2
1996217N16111,LISA,1996-08-07 00:00:00,24.9,117.8,0,30.0,, , , , ,,1
1996217N16111,LISA,1996-08-07 03:00:00,25.2,117.9,0,28.0,, , , , ,,1
1996217N16111,LISA,1996-08-07 06:00:00,25.5,118.1,0,25.0,, , , , ,,1
1996217N16111,LISA,1996-08-07 09:00:00,25.7,118.2,0,23.0,, , , , ,,1
1996217N16111,LISA,1996-08-07 12:00:00,25.8,118.2,0,20.0,, , , , ,,0
1996217N16111,LISA,1996-08-07 15:00:00,26.0,118.2,0,20.0,, , , , ,,0
1996217N16111,LISA,1996-08-07 18:00:00,26.1,118.3,0,20.0,, , , , ,,0
1996217N16111,LISA,1996-08-07 21:00:00,26.2,118.4,0,18.0,, , , , ,,0
1996217N16111,LISA,1996-08-08 00:00:00,26.5,118.6,0,15.0,, , , , ,,0
