SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1997217N06168,WINNIE,1997-08-18 06:00:00,27.3,122.7,155,75.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-18 09:00:00,27.6,122.2,97,75.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-18 12:00:00,28.1,121.7,24,75.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-18 15:00:00,28.6,121.1,0,70.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-18 18:00:00,29.1,120.3,0,65.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-18 21:00:00,29.6,119.7,0,60.0,, , , , ,,4
1997217N06168,WINNIE,1997-08-19 00:00:00,30.1,119.1,0,55.0,, , , , ,,3
1997217N06168,WINNIE,1997-08-19 03:00:00,30.6,118.7,0,50.0,, , , , ,,3
1997217N06168,WINNIE,1997-08-19 06:00:00,31.1,118.4,0,45.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-19 09:00:00,31.6,118.1,0,40.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-19 12:00:00,32.2,117.9,0,35.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-19 15:00:00,32.7,117.7,0,33.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-19 18:00:00,33.4,117.7,0,30.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-19 21:00:00,34.3,117.8,0,30.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-20 00:00:00,35.3,118.0,0,30.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-20 03:00:00,36.2,118.3,0,30.0,, , , , ,,2
1997217N06168,WINNIE,1997-08-20 06:00:00,37.0,118.7,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-20 09:00:00,37.7,119.1,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-20 12:00:00,38.5,119.7,89,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-20 15:00:00,39.3,120.6,61,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-20 18:00:00,40.2,121.6,27,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-20 21:00:00,41.0,122.4,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 00:00:00,41.8,123.2,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 03:00:00,42.6,124.0,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 06:00:00,43.2,124.7,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 09:00:00,43.7,125.6,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 12:00:00,44.2,126.6,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 15:00:00,44.6,127.6,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 18:00:00,45.0,128.6,0,30.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-21 21:00:00,45.3,129.7,0,28.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 00:00:00,45.5,130.6,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 03:00:00,45.7,131.3,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 06:00:00,46.0,132.0,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 09:00:00,46.1,132.7,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 12:00:00,46.3,133.4,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 15:00:00,46.5,134.0,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 18:00:00,46.6,134.6,0,25.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-22 21:00:00,46.6,135.6,0,23.0,, , , , ,, 
1997217N06168,WINNIE,1997-08-23 00:00:00,46.2,136.7,0,20.0,, , , , ,, 
