SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1997232N14136,AMBER,1997-08-28 09:00:00,21.9,122.7,185,98.0,, , , , ,,5
1997232N14136,AMBER,1997-08-28 12:00:00,22.3,122.5,143,95.0,, , , , ,,4
1997232N14136,AMBER,1997-08-28 15:00:00,22.7,122.1,84,95.0,, , , , ,,4
1997232N14136,AMBER,1997-08-28 18:00:00,23.3,121.6,20,95.0,, , , , ,,4
1997232N14136,AMBER,1997-08-28 21:00:00,23.8,121.3,0,93.0,, , , , ,,4
1997232N14136,AMBER,1997-08-29 00:00:00,24.2,120.7,0,90.0,, , , , ,,4
1997232N14136,AMBER,1997-08-29 03:00:00,24.7,120.4,32,85.0,, , , , ,,4
1997232N14136,AMBER,1997-08-29 06:00:00,25.2,120.1,45,80.0,, , , , ,,4
1997232N14136,AMBER,1997-08-29 09:00:00,25.7,119.8,20,73.0,, , , , ,,4
1997232N14136,AMBER,1997-08-29 12:00:00,26.3,119.5,0,65.0,, , , , ,,2
1997232N14136,AMBER,1997-08-29 15:00:00,26.8,119.0,0,58.0,, , , , ,,2
1997232N14136,AMBER,1997-08-29 18:00:00,27.3,118.4,0,50.0,, , , , ,,1
1997232N14136,AMBER,1997-08-29 21:00:00,27.7,117.8,0,40.0,, , , , ,,1
1997232N14136,AMBER,1997-08-30 00:00:00,28.1,117.4,0,30.0,, , , , ,,1
1997232N14136,AMBER,1997-08-30 03:00:00,28.4,116.9,0,30.0,, , , , ,,1
1997232N14136,AMBER,1997-08-30 06:00:00,28.7,116.3,0,30.0,, , , , ,,0
1997232N14136,AMBER,1997-08-30 09:00:00,29.1,115.8,0,28.0,, , , , ,,0
1997232N14136,AMBER,1997-08-30 12:00:00,29.4,115.0,0,25.0,, , , , ,, 
1997232N14136,AMBER,1997-08-30 15:00:00,29.6,114.1,0,25.0,, , , , ,, 
1997232N14136,AMBER,1997-08-30 18:00:00,29.6,113.3,0,25.0,, , , , ,, 
