SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1998188N18117,NICHOLE,1998-07-08 06:00:00,21.6,118.7,193,30.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-08 09:00:00,21.9,118.7,177,30.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-08 12:00:00,22.1,118.8,160,30.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-08 15:00:00,22.2,118.9,147,33.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-08 18:00:00,22.4,119.0,131,35.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-08 21:00:00,22.5,119.1,117,35.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-09 00:00:00,22.6,119.3,94,35.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 03:00:00,22.8,119.5,69,40.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 06:00:00,22.9,119.7,46,45.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 09:00:00,23.0,119.9,23,48.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 12:00:00,23.1,120.0,10,50.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 15:00:00,23.2,120.1,0,48.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 18:00:00,23.4,120.0,20,45.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-09 21:00:00,23.5,119.9,23,38.0,, , , , ,,2
1998188N18117,NICHOLE,1998-07-10 00:00:00,23.7,119.7,42,30.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 03:00:00,23.7,119.5,62,28.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 06:00:00,23.7,119.4,72,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 09:00:00,23.7,119.2,92,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 12:00:00,23.6,119.0,108,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 15:00:00,23.4,118.8,113,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 18:00:00,23.2,118.7,120,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-10 21:00:00,23.0,118.7,136,25.0,, , , , ,,1
1998188N18117,NICHOLE,1998-07-11 00:00:00,23.1,118.6,121,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 03:00:00,23.2,118.5,112,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 06:00:00,23.2,118.5,105,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 09:00:00,23.3,118.4,90,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 12:00:00,23.3,118.3,84,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 15:00:00,23.3,118.2,75,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 18:00:00,23.4,118.2,69,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-11 21:00:00,23.4,118.2,60,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 00:00:00,23.5,118.1,54,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 03:00:00,23.5,118.0,46,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 06:00:00,23.6,118.0,39,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 09:00:00,23.8,118.0,23,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 12:00:00,24.2,118.1,10,25.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 15:00:00,24.6,118.1,0,23.0,, , , , ,, 
1998188N18117,NICHOLE,1998-07-12 18:00:00,25.1,118.1,0,20.0,, , , , ,, 
