SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1998213N14128,OTTO,1998-08-02 09:00:00,15.1,125.6,186,33.0,, , , , ,,1
1998213N14128,OTTO,1998-08-02 12:00:00,15.3,125.3,181,35.0,, , , , ,,1
1998213N14128,OTTO,1998-08-02 15:00:00,15.6,125.0,194,35.0,, , , , ,,1
1998213N14128,OTTO,1998-08-03 06:00:00,18.7,124.0,182,55.0,, , , , ,,2
1998213N14128,OTTO,1998-08-03 09:00:00,19.4,123.6,176,60.0,, , , , ,,2
1998213N14128,OTTO,1998-08-03 18:00:00,21.3,122.5,178,80.0,, , , , ,,3
1998213N14128,OTTO,1998-08-03 21:00:00,21.7,122.2,136,90.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 00:00:00,22.2,121.9,102,100.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 03:00:00,22.8,121.6,37,85.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 06:00:00,23.4,121.2,0,70.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 09:00:00,24.1,120.7,0,65.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 12:00:00,24.6,120.2,46,60.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 15:00:00,25.0,119.9,45,63.0,, , , , ,,3
1998213N14128,OTTO,1998-08-04 18:00:00,25.3,119.6,0,65.0,, , , , ,,2
1998213N14128,OTTO,1998-08-04 21:00:00,25.6,119.1,0,58.0,, , , , ,,2
1998213N14128,OTTO,1998-08-05 00:00:00,25.9,118.6,0,50.0,, , , , ,,2
1998213N14128,OTTO,1998-08-05 03:00:00,26.1,118.4,0,40.0,, , , , ,,2
1998213N14128,OTTO,1998-08-05 06:00:00,26.3,118.3,0,30.0,, , , , ,,1
