SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
1999275N16135,DAN,1999-10-04 15:00:00,18.2,124.0,179,85.0,, , , , ,,4
1999275N16135,DAN,1999-10-04 18:00:00,18.2,123.5,127,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-04 21:00:00,18.2,123.0,74,100.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 00:00:00,18.2,122.5,23,110.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 03:00:00,18.3,121.9,0,105.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 06:00:00,18.4,121.3,0,100.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 09:00:00,18.4,120.7,0,95.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 12:00:00,18.5,120.1,53,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 15:00:00,18.5,119.8,85,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 18:00:00,18.5,119.6,105,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-05 21:00:00,18.5,119.2,144,88.0,, , , , ,,4
1999275N16135,DAN,1999-10-06 00:00:00,18.5,118.9,174,85.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 03:00:00,22.0,118.0,184,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 06:00:00,22.2,118.0,172,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 09:00:00,22.3,118.0,161,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 12:00:00,22.5,118.1,143,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 15:00:00,22.9,118.2,108,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 18:00:00,23.3,118.2,75,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-08 21:00:00,23.6,118.2,52,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-09 00:00:00,24.0,118.1,20,90.0,, , , , ,,4
1999275N16135,DAN,1999-10-09 03:00:00,24.3,118.0,0,83.0,, , , , ,,4
1999275N16135,DAN,1999-10-09 06:00:00,24.6,118.0,0,75.0,, , , , ,,3
1999275N16135,DAN,1999-10-09 09:00:00,25.0,118.0,0,65.0,, , , , ,,3
1999275N16135,DAN,1999-10-09 12:00:00,25.4,118.1,0,55.0,, , , , ,,2
1999275N16135,DAN,1999-10-09 15:00:00,25.7,118.2,0,45.0,, , , , ,,2
1999275N16135,DAN,1999-10-09 18:00:00,26.1,118.3,0,35.0,, , , , ,,1
1999275N16135,DAN,1999-10-09 21:00:00,26.6,118.7,0,30.0,, , , , ,,1
1999275N16135,DAN,1999-10-10 00:00:00,27.2,119.2,0,25.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 03:00:00,27.8,119.7,0,25.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 06:00:00,28.4,120.2,0,25.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 09:00:00,29.1,120.8,0,25.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 12:00:00,29.8,121.5,0,25.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 15:00:00,30.4,122.2,62,23.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 18:00:00,31.1,122.9,97,20.0,, , , , ,, 
1999275N16135,DAN,1999-10-10 21:00:00,31.7,123.9,188,20.0,, , , , ,, 
1999275N16135,DAN,1999-10-11 00:00:00,32.1,125.0,172,20.0,, , , , ,, 
