SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2000185N15117,KAI-TAK,2000-07-03 06:00:00,15.9,118.3,150,15.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-03 09:00:00,16.0,118.6,117,15.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-03 12:00:00,16.0,118.9,85,15.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-03 15:00:00,16.1,119.1,65,18.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-03 18:00:00,16.2,119.3,48,20.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-03 21:00:00,16.4,119.5,33,20.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 00:00:00,16.6,119.6,39,20.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 03:00:00,17.0,119.9,57,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 06:00:00,17.4,120.1,30,30.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 09:00:00,17.9,120.3,21,28.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 12:00:00,18.3,120.5,10,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 15:00:00,18.6,120.6,21,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 18:00:00,18.7,120.6,23,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-04 21:00:00,18.8,120.7,24,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 00:00:00,18.8,120.7,35,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 03:00:00,18.9,120.6,39,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 06:00:00,18.9,120.6,39,25.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 09:00:00,19.0,120.4,61,28.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 12:00:00,19.1,120.3,76,30.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 15:00:00,19.2,120.2,92,33.0,, , , , ,,1
2000185N15117,KAI-TAK,2000-07-05 18:00:00,19.3,120.1,107,35.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-05 21:00:00,19.4,120.0,122,40.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-06 00:00:00,19.5,119.9,138,45.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-06 03:00:00,19.6,119.7,160,50.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-06 06:00:00,19.7,119.5,183,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-08 09:00:00,20.3,119.9,197,65.0,, , , , ,,4
2000185N15117,KAI-TAK,2000-07-08 12:00:00,20.6,120.2,154,65.0,, , , , ,,4
2000185N15117,KAI-TAK,2000-07-08 15:00:00,20.8,120.5,124,65.0,, , , , ,,4
2000185N15117,KAI-TAK,2000-07-08 18:00:00,21.3,120.8,67,65.0,, , , , ,,4
2000185N15117,KAI-TAK,2000-07-08 21:00:00,21.9,121.1,20,65.0,, , , , ,,4
2000185N15117,KAI-TAK,2000-07-09 00:00:00,22.7,121.4,30,65.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 03:00:00,23.6,121.5,10,60.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 06:00:00,24.5,121.6,0,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 09:00:00,25.4,121.4,22,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 12:00:00,26.3,121.3,123,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 15:00:00,27.1,121.3,74,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 18:00:00,28.0,121.4,14,55.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-09 21:00:00,29.1,121.4,0,50.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-10 00:00:00,30.2,121.5,0,45.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-10 03:00:00,31.3,121.7,0,45.0,, , , , ,,3
2000185N15117,KAI-TAK,2000-07-10 06:00:00,32.3,122.0,43,45.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-10 09:00:00,33.3,122.3,130,38.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-10 15:00:00,35.4,122.9,164,30.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-10 18:00:00,36.5,123.1,69,30.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-10 21:00:00,37.4,123.3,62,28.0,, , , , ,,2
2000185N15117,KAI-TAK,2000-07-11 00:00:00,38.3,123.5,106,25.0,, , , , ,,2
