SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2001170N11138,CHEBI,2001-06-21 21:00:00,17.8,124.2,198,63.0,978.0, , , , ,,3
2001170N11138,CHEBI,2001-06-22 00:00:00,18.3,123.6,137,65.0,976.0, , , , ,,3
2001170N11138,CHEBI,2001-06-22 03:00:00,18.9,122.9,84,70.0,972.0, , , , ,,3
2001170N11138,CHEBI,2001-06-22 06:00:00,19.5,122.3,123,75.0,967.0, , , , ,,4
2001170N11138,CHEBI,2001-06-22 09:00:00,20.0,121.7,170,75.0,967.0, , , , ,,4
2001170N11138,CHEBI,2001-06-22 12:00:00,20.4,121.2,170,75.0,967.0, , , , ,,4
2001170N11138,CHEBI,2001-06-22 15:00:00,20.7,120.5,135,83.0,961.0, , , , ,,4
2001170N11138,CHEBI,2001-06-22 18:00:00,21.0,119.9,130,90.0,954.0, , , , ,,4
2001170N11138,CHEBI,2001-06-22 21:00:00,21.6,119.6,118,95.0,949.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 00:00:00,22.2,119.4,98,100.0,944.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 03:00:00,22.8,119.3,88,98.0,947.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 06:00:00,23.4,119.2,94,95.0,949.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 09:00:00,24.0,119.2,82,93.0,952.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 12:00:00,24.8,119.4,39,90.0,954.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 15:00:00,25.6,119.5,0,88.0,954.0, , , , ,,4
2001170N11138,CHEBI,2001-06-23 18:00:00,26.5,119.7,0,85.0,954.0, , , , ,,3
2001170N11138,CHEBI,2001-06-23 21:00:00,27.3,120.0,0,65.0,973.0, , , , ,,3
2001170N11138,CHEBI,2001-06-24 00:00:00,28.2,120.5,0,45.0,991.0, , , , ,,2
2001170N11138,CHEBI,2001-06-24 03:00:00,29.1,121.2,0,40.0,994.0, , , , ,,2
2001170N11138,CHEBI,2001-06-24 06:00:00,30.2,122.1,48,35.0,997.0, , , , ,,2
