SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2001189N13130,TRAMI,2001-07-10 18:00:00,21.3,122.4,168,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-10 21:00:00,21.6,122.2,138,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 00:00:00,21.8,122.0,114,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 03:00:00,22.1,121.7,82,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 06:00:00,22.3,121.4,51,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 09:00:00,22.6,121.2,20,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 12:00:00,22.8,120.9,0,35.0,997.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 15:00:00,23.0,120.6,0,33.0,999.0, , , , ,,2
2001189N13130,TRAMI,2001-07-11 18:00:00,23.2,120.2,0,30.0,1000.0, , , , ,50.0,2
2001189N13130,TRAMI,2001-07-11 21:00:00,23.4,119.9,30,28.0,999.0, , , , ,45.0,2
2001189N13130,TRAMI,2001-07-12 00:00:00,23.8,119.7,46,25.0,998.0, , , , ,40.0,1
2001189N13130,TRAMI,2001-07-12 03:00:00,24.1,119.6,71,23.0,1001.0, , , , ,,1
2001189N13130,TRAMI,2001-07-12 06:00:00,24.5,119.5,73,20.0,1004.0, , , , ,,1
