SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2002189N21116,NAKRI,2002-07-08 00:00:00,21.3,117.0,186,20.0,996.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 03:00:00,21.4,117.3,186,23.0,995.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 06:00:00,21.5,117.6,193,25.0,994.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 09:00:00,21.8,118.0,197,25.0,998.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 12:00:00,22.1,118.3,192,25.0,1002.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 15:00:00,22.3,118.5,181,30.0,1000.0, , , , ,25.0,1
2002189N21116,NAKRI,2002-07-08 18:00:00,22.6,118.7,153,35.0,997.0, , , , ,25.0,2
2002189N21116,NAKRI,2002-07-08 21:00:00,22.9,118.9,124,35.0,997.0, , , , ,48.0,2
2002189N21116,NAKRI,2002-07-09 00:00:00,23.2,119.2,91,35.0,997.0, , , , ,70.0,2
2002189N21116,NAKRI,2002-07-09 03:00:00,23.6,119.5,61,35.0,997.0, , , , ,70.0,2
2002189N21116,NAKRI,2002-07-09 06:00:00,23.9,119.8,45,35.0,997.0,35,35,55,55,70.0,2
2002189N21116,NAKRI,2002-07-09 09:00:00,24.2,120.0,37,35.0,997.0,35,35,55,55,70.0,2
2002189N21116,NAKRI,2002-07-09 12:00:00,24.3,120.2,30,35.0,997.0,35,35,55,55,70.0,2
2002189N21116,NAKRI,2002-07-09 15:00:00,24.4,120.5,10,35.0,997.0,35,35,55,55,70.0,2
2002189N21116,NAKRI,2002-07-09 18:00:00,24.5,120.8,0,35.0,997.0,35,35,55,55,70.0,2
2002189N21116,NAKRI,2002-07-09 21:00:00,24.7,121.1,0,35.0,997.0,35,35,55,55,53.0,2
2002189N21116,NAKRI,2002-07-10 00:00:00,24.9,121.4,0,35.0,997.0,35,35,55,55,35.0,2
2002189N21116,NAKRI,2002-07-10 03:00:00,25.0,121.8,0,33.0,994.0, , , , ,53.0,2
2002189N21116,NAKRI,2002-07-10 06:00:00,25.0,122.2,20,30.0,990.0, , , , ,70.0,2
2002189N21116,NAKRI,2002-07-10 09:00:00,25.2,122.6,64,33.0,994.0, , , , ,60.0,2
2002189N21116,NAKRI,2002-07-10 12:00:00,25.3,123.2,125,35.0,997.0, , , , ,50.0,2
2002189N21116,NAKRI,2002-07-10 15:00:00,25.3,123.6,164,38.0,996.0, , , , ,45.0,2
2002189N21116,NAKRI,2002-07-13 12:00:00,31.9,127.0,149,25.0,1002.0, , , , ,,2
