SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2004174N14146,MINDULLE,2004-06-29 00:00:00,18.8,124.1,194,125.0,916.0,185,185,155,185,,5
2004174N14146,MINDULLE,2004-06-29 03:00:00,18.8,123.8,164,125.0,916.0,170,183,158,170,,5
2004174N14146,MINDULLE,2004-06-29 06:00:00,18.9,123.6,147,125.0,916.0,155,180,160,155,15.0,5
2004174N14146,MINDULLE,2004-06-29 09:00:00,18.9,123.3,119,125.0,916.0,155,180,160,155,,5
2004174N14146,MINDULLE,2004-06-29 12:00:00,18.9,123.0,92,125.0,916.0,155,180,160,155,,5
2004174N14146,MINDULLE,2004-06-29 15:00:00,18.9,122.8,76,125.0,916.0,155,163,145,155,,5
2004174N14146,MINDULLE,2004-06-29 18:00:00,19.0,122.7,79,125.0,916.0,155,145,130,155,,4
2004174N14146,MINDULLE,2004-06-29 21:00:00,19.0,122.5,70,118.0,925.0,150,145,125,143,,4
2004174N14146,MINDULLE,2004-06-30 00:00:00,19.1,122.3,78,110.0,933.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 03:00:00,19.2,122.1,89,108.0,936.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 06:00:00,19.3,122.0,101,105.0,938.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 09:00:00,19.4,121.9,113,98.0,946.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 12:00:00,19.7,122.0,145,90.0,954.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 15:00:00,20.2,121.9,197,85.0,959.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 18:00:00,20.7,121.9,169,80.0,963.0,145,145,120,130,,4
2004174N14146,MINDULLE,2004-06-30 21:00:00,21.2,121.9,129,78.0,965.0,145,145,115,138,,4
2004174N14146,MINDULLE,2004-07-01 00:00:00,21.6,121.8,98,75.0,967.0,145,145,110,145,,3
2004174N14146,MINDULLE,2004-07-01 03:00:00,22.0,121.7,82,70.0,972.0,135,133,105,135,,3
2004174N14146,MINDULLE,2004-07-01 06:00:00,22.3,121.6,70,65.0,976.0,125,120,100,125,,3
2004174N14146,MINDULLE,2004-07-01 09:00:00,22.8,121.6,37,65.0,976.0,125,120,100,125,,3
2004174N14146,MINDULLE,2004-07-01 12:00:00,23.3,121.6,20,65.0,976.0,125,120,100,125,,3
2004174N14146,MINDULLE,2004-07-01 15:00:00,23.7,121.4,0,60.0,980.0,113,120,100,123,,3
2004174N14146,MINDULLE,2004-07-01 18:00:00,24.0,121.3,0,55.0,984.0,100,120,100,120,,3
2004174N14146,MINDULLE,2004-07-01 21:00:00,24.4,121.2,0,50.0,988.0,90,110,90,93,,3
2004174N14146,MINDULLE,2004-07-02 00:00:00,24.8,121.2,0,45.0,991.0,80,100,80,65,,3
2004174N14146,MINDULLE,2004-07-02 03:00:00,25.1,121.1,10,45.0,991.0,80,80,60,73,,3
2004174N14146,MINDULLE,2004-07-02 06:00:00,25.4,121.0,39,45.0,991.0,80,60,40,80,,3
2004174N14146,MINDULLE,2004-07-02 09:00:00,25.8,121.0,78,43.0,993.0,80,60,40,80,,3
2004174N14146,MINDULLE,2004-07-02 12:00:00,26.2,121.0,100,40.0,994.0,80,60,40,80,,3
2004174N14146,MINDULLE,2004-07-02 15:00:00,26.5,121.0,89,40.0,994.0,80,60,40,80,,3
2004174N14146,MINDULLE,2004-07-02 18:00:00,26.9,121.0,59,40.0,994.0,80,60,40,80,,3
2004174N14146,MINDULLE,2004-07-02 21:00:00,27.3,121.1,45,38.0,996.0,78,58,40,78,,3
2004174N14146,MINDULLE,2004-07-03 00:00:00,27.8,121.2,29,35.0,997.0,75,55,40,75,,3
2004174N14146,MINDULLE,2004-07-03 03:00:00,28.4,121.5,0,35.0,997.0,75,55,40,75,,3
2004174N14146,MINDULLE,2004-07-03 06:00:00,29.1,121.9,11,35.0,997.0,75,55,40,75,,2
2004174N14146,MINDULLE,2004-07-03 09:00:00,29.8,122.2,28,35.0,997.0,75,55,40,75,,2
2004174N14146,MINDULLE,2004-07-03 12:00:00,30.5,122.6,80,35.0,997.0,75,55,40,75,,2
2004174N14146,MINDULLE,2004-07-03 15:00:00,31.2,122.9,100,33.0,999.0, , , , ,,2
2004174N14146,MINDULLE,2004-07-03 18:00:00,31.8,123.4,142,30.0,1000.0, , , , ,,2
2004174N14146,MINDULLE,2004-07-04 00:00:00,33.0,124.5,161,30.0,1000.0, , , , ,,9
2004174N14146,MINDULLE,2004-07-04 03:00:00,33.8,124.9,132,28.0,1001.0, , , , ,,9
2004174N14146,MINDULLE,2004-07-04 06:00:00,34.6,125.2,100,25.0,1002.0, , , , ,,9
