SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2004231N09147,AERE,2004-08-24 00:00:00,24.9,123.9,191,80.0,963.0,160,180,180,180,,4
2004231N09147,AERE,2004-08-24 03:00:00,25.1,123.7,171,80.0,963.0,165,175,168,175,,4
2004231N09147,AERE,2004-08-24 06:00:00,25.3,123.5,154,80.0,963.0,170,170,155,170,,4
2004231N09147,AERE,2004-08-24 09:00:00,25.4,123.3,138,83.0,961.0,165,165,150,165,,4
2004231N09147,AERE,2004-08-24 12:00:00,25.5,123.0,114,85.0,958.0,160,160,145,160,,4
2004231N09147,AERE,2004-08-24 15:00:00,25.5,122.6,82,88.0,956.0,140,170,173,125,,4
2004231N09147,AERE,2004-08-24 18:00:00,25.5,122.1,56,90.0,954.0,120,180,200,90,,4
2004231N09147,AERE,2004-08-24 21:00:00,25.5,121.8,39,90.0,954.0,120,180,200,90,,4
2004231N09147,AERE,2004-08-25 00:00:00,25.5,121.4,33,90.0,954.0,120,180,200,90,,4
2004231N09147,AERE,2004-08-25 03:00:00,25.5,121.0,48,88.0,956.0,120,175,190,95,,4
2004231N09147,AERE,2004-08-25 06:00:00,25.5,120.4,71,85.0,958.0,120,170,180,100,,4
2004231N09147,AERE,2004-08-25 09:00:00,25.3,119.8,15,80.0,963.0,115,153,158,95,,4
2004231N09147,AERE,2004-08-25 12:00:00,25.0,119.1,10,75.0,967.0,110,135,135,90,,4
2004231N09147,AERE,2004-08-25 15:00:00,24.7,118.5,0,70.0,972.0,110,135,135,90,,4
2004231N09147,AERE,2004-08-25 18:00:00,24.5,118.0,0,65.0,976.0,110,135,135,90,,3
2004231N09147,AERE,2004-08-25 21:00:00,24.1,117.6,0,63.0,978.0,110,135,135,90,,3
2004231N09147,AERE,2004-08-26 00:00:00,23.9,117.2,0,60.0,980.0,110,135,135,90,,2
2004231N09147,AERE,2004-08-26 03:00:00,23.8,116.9,0,50.0,987.0,110,135,135,90,,2
2004231N09147,AERE,2004-08-26 06:00:00,23.7,116.5,0,40.0,994.0,110,135,135,90,,2
2004231N09147,AERE,2004-08-26 09:00:00,23.7,116.1,0,35.0,997.0,55,67,67,45,,2
2004231N09147,AERE,2004-08-26 12:00:00,23.6,115.7,0,30.0,1000.0, , , , ,,1
