SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2004255N23120,HAIMA,2004-09-10 18:00:00,23.0,119.6,52,20.0,1004.0, , , , ,40.0,1
2004255N23120,HAIMA,2004-09-10 21:00:00,22.9,119.9,30,23.0,1003.0, , , , ,,1
2004255N23120,HAIMA,2004-09-11 00:00:00,22.8,120.2,0,25.0,1002.0, , , , ,,1
2004255N23120,HAIMA,2004-09-11 03:00:00,22.7,120.7,0,25.0,1002.0, , , , ,,1
2004255N23120,HAIMA,2004-09-11 06:00:00,22.7,121.2,15,25.0,1002.0, , , , ,40.0,1
2004255N23120,HAIMA,2004-09-11 09:00:00,23.0,121.6,23,25.0,1002.0, , , , ,40.0,1
2004255N23120,HAIMA,2004-09-11 12:00:00,23.4,121.8,40,25.0,1002.0, , , , ,40.0,1
2004255N23120,HAIMA,2004-09-11 15:00:00,23.9,122.0,46,30.0,1000.0, , , , ,,1
2004255N23120,HAIMA,2004-09-11 18:00:00,24.4,122.1,23,35.0,997.0, , , , ,,2
2004255N23120,HAIMA,2004-09-11 21:00:00,24.7,122.2,37,35.0,997.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 00:00:00,24.9,122.2,23,35.0,997.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 03:00:00,25.2,122.2,30,33.0,999.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 06:00:00,25.4,122.2,49,30.0,1000.0, , , , ,40.0,2
2004255N23120,HAIMA,2004-09-12 09:00:00,25.7,122.2,80,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 12:00:00,26.1,122.2,117,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 15:00:00,26.4,122.1,143,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 18:00:00,26.7,121.9,148,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-12 21:00:00,27.0,121.8,122,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-13 00:00:00,27.3,121.5,81,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-13 03:00:00,27.7,121.2,36,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-13 06:00:00,27.9,120.7,0,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-13 09:00:00,28.2,120.3,0,30.0,1000.0, , , , ,,2
2004255N23120,HAIMA,2004-09-13 12:00:00,28.5,120.0,0,30.0,1000.0, , , , ,,1
