SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2005192N22155,HAITANG,2005-07-17 18:00:00,23.7,123.1,151,125.0,916.0,150,140,130,140,10.0,5
2005192N22155,HAITANG,2005-07-17 21:00:00,23.8,122.4,87,115.0,919.0,145,140,130,135,13.0,5
2005192N22155,HAITANG,2005-07-18 00:00:00,23.7,121.8,30,105.0,922.0,140,140,130,130,15.0,5
2005192N22155,HAITANG,2005-07-18 03:00:00,23.7,121.7,20,100.0,936.0,138,138,128,128,13.0,5
2005192N22155,HAITANG,2005-07-18 06:00:00,24.0,121.7,15,95.0,949.0,135,135,125,125,10.0,5
2005192N22155,HAITANG,2005-07-18 09:00:00,24.2,121.5,0,93.0,952.0,133,133,118,118,10.0,5
2005192N22155,HAITANG,2005-07-18 12:00:00,24.5,121.2,0,90.0,954.0,130,130,110,110,10.0,4
2005192N22155,HAITANG,2005-07-18 15:00:00,24.6,120.9,0,85.0,959.0,110,120,110,100,10.0,4
2005192N22155,HAITANG,2005-07-18 18:00:00,24.7,120.6,15,80.0,963.0,90,110,110,90,10.0,4
2005192N22155,HAITANG,2005-07-18 21:00:00,24.8,120.4,37,78.0,965.0,95,105,110,100,10.0,4
2005192N22155,HAITANG,2005-07-19 00:00:00,25.0,120.3,60,75.0,967.0,100,100,110,110,10.0,4
2005192N22155,HAITANG,2005-07-19 03:00:00,25.3,120.2,51,68.0,974.0,115,105,90,98,10.0,4
2005192N22155,HAITANG,2005-07-19 06:00:00,25.8,120.0,32,60.0,980.0,130,110,70,85,10.0,4
2005192N22155,HAITANG,2005-07-19 09:00:00,26.1,119.8,14,60.0,980.0,130,110,70,85,,4
2005192N22155,HAITANG,2005-07-19 12:00:00,26.4,119.6,0,60.0,980.0,130,110,70,85,,3
