SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2005211N09141,MATSA,2005-08-04 15:00:00,24.9,123.9,191,90.0,954.0,170,170,160,160,15.0,5
2005211N09141,MATSA,2005-08-04 18:00:00,25.2,123.7,172,90.0,954.0,170,170,160,160,15.0,5
2005211N09141,MATSA,2005-08-04 21:00:00,25.5,123.5,160,88.0,956.0,175,175,150,155,15.0,5
2005211N09141,MATSA,2005-08-05 00:00:00,25.7,123.4,160,85.0,958.0,180,180,140,150,15.0,5
2005211N09141,MATSA,2005-08-05 03:00:00,26.2,123.3,186,83.0,961.0,180,180,140,150,15.0,5
2005211N09141,MATSA,2005-08-05 09:00:00,27.1,122.7,172,78.0,965.0,180,180,140,150,15.0,5
2005211N09141,MATSA,2005-08-05 12:00:00,27.4,122.3,121,75.0,967.0,180,180,140,150,15.0,5
2005211N09141,MATSA,2005-08-05 15:00:00,27.7,121.9,73,70.0,972.0,165,165,120,120,15.0,5
2005211N09141,MATSA,2005-08-05 18:00:00,28.0,121.6,29,65.0,976.0,150,150,100,90,15.0,5
2005211N09141,MATSA,2005-08-05 21:00:00,28.2,121.3,0,60.0,980.0,150,150,100,90,13.0,5
2005211N09141,MATSA,2005-08-06 00:00:00,28.5,121.0,0,55.0,984.0,150,150,100,90,10.0,4
2005211N09141,MATSA,2005-08-06 03:00:00,28.8,120.7,0,55.0,984.0,150,150,100,90,,4
2005211N09141,MATSA,2005-08-06 06:00:00,29.1,120.5,0,55.0,984.0,150,150,100,90,,3
2005211N09141,MATSA,2005-08-06 09:00:00,29.5,120.2,0,50.0,988.0,150,150,100,90,,3
2005211N09141,MATSA,2005-08-06 12:00:00,29.9,119.9,0,45.0,991.0,150,150,100,90,,3
2005211N09141,MATSA,2005-08-06 15:00:00,30.3,119.5,0,38.0,996.0,75,75,50,45,,3
2005211N09141,MATSA,2005-08-06 18:00:00,30.5,119.1,0,30.0,1000.0, , , , ,,2
