SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2007274N18131,KROSA,2007-10-06 00:00:00,23.7,123.5,185,125.0,929.0,200,190,180,190,15.0,6
2007274N18131,KROSA,2007-10-06 03:00:00,24.2,122.9,106,125.0,929.0,213,195,180,195,15.0,6
2007274N18131,KROSA,2007-10-06 06:00:00,24.5,122.2,30,125.0,929.0,225,200,180,200,15.0,6
2007274N18131,KROSA,2007-10-06 09:00:00,24.3,122.0,23,120.0,933.0,225,200,180,200,18.0,6
2007274N18131,KROSA,2007-10-06 12:00:00,24.3,121.9,15,115.0,937.0,225,200,180,200,20.0,5
2007274N18131,KROSA,2007-10-06 15:00:00,25.0,121.6,0,103.0,947.0,213,193,175,190,,5
2007274N18131,KROSA,2007-10-06 18:00:00,25.5,121.1,45,90.0,956.0,200,185,170,180,,4
2007274N18131,KROSA,2007-10-06 21:00:00,25.7,120.7,83,83.0,962.0,188,178,163,170,,4
2007274N18131,KROSA,2007-10-07 00:00:00,25.9,120.6,89,75.0,967.0,175,170,155,160,25.0,4
2007274N18131,KROSA,2007-10-07 03:00:00,26.3,120.6,59,63.0,976.0,175,165,160,130,25.0,4
2007274N18131,KROSA,2007-10-07 06:00:00,26.8,120.5,29,50.0,985.0,175,160,165,100,25.0,4
2007274N18131,KROSA,2007-10-07 09:00:00,27.2,120.4,0,48.0,987.0,165,150,143,90,28.0,4
2007274N18131,KROSA,2007-10-07 12:00:00,27.4,120.2,0,45.0,989.0,155,140,120,80,30.0,3
2007274N18131,KROSA,2007-10-07 15:00:00,27.5,120.1,0,45.0,989.0,128,115,103,78,33.0,3
2007274N18131,KROSA,2007-10-07 18:00:00,27.6,120.1,0,45.0,989.0,100,90,85,75,35.0,2
2007274N18131,KROSA,2007-10-07 21:00:00,27.7,120.1,0,43.0,991.0,85,78,70,65,35.0,2
2007274N18131,KROSA,2007-10-08 00:00:00,27.8,120.2,0,40.0,993.0,70,65,55,55,35.0,2
