SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2008193N20126,KALMAEGI,2008-07-15 03:00:00,18.1,124.0,180,33.0,998.0, , , , ,40.0,1
2008193N20126,KALMAEGI,2008-07-15 06:00:00,18.1,123.8,160,35.0,996.0, , , , ,40.0,2
2008193N20126,KALMAEGI,2008-07-15 09:00:00,18.0,123.6,141,35.0,996.0, , , , ,40.0,2
2008193N20126,KALMAEGI,2008-07-15 12:00:00,18.1,123.6,139,35.0,996.0, , , , ,40.0,2
2008193N20126,KALMAEGI,2008-07-15 15:00:00,18.1,123.5,128,38.0,995.0, , , , ,35.0,2
2008193N20126,KALMAEGI,2008-07-15 18:00:00,18.3,123.6,137,40.0,993.0,45,55,45,50,30.0,2
2008193N20126,KALMAEGI,2008-07-15 21:00:00,18.5,123.7,148,45.0,989.0,43,43,38,45,30.0,2
2008193N20126,KALMAEGI,2008-07-16 00:00:00,18.8,123.8,164,50.0,985.0,40,30,30,40,30.0,2
2008193N20126,KALMAEGI,2008-07-16 03:00:00,19.0,123.8,171,53.0,984.0,43,33,33,43,25.0,2
2008193N20126,KALMAEGI,2008-07-16 06:00:00,19.3,123.8,187,55.0,982.0,45,35,35,45,20.0,3
2008193N20126,KALMAEGI,2008-07-17 00:00:00,22.5,122.9,167,80.0,963.0,80,75,65,70,20.0,4
2008193N20126,KALMAEGI,2008-07-17 03:00:00,22.8,122.7,137,85.0,960.0,83,80,70,75,18.0,4
2008193N20126,KALMAEGI,2008-07-17 06:00:00,23.2,122.5,112,90.0,956.0,85,85,75,80,15.0,4
2008193N20126,KALMAEGI,2008-07-17 09:00:00,23.7,122.3,81,90.0,956.0,85,85,75,80,15.0,4
2008193N20126,KALMAEGI,2008-07-17 12:00:00,24.1,122.0,37,90.0,956.0,85,85,75,80,15.0,4
2008193N20126,KALMAEGI,2008-07-17 15:00:00,24.4,121.7,0,90.0,956.0,85,85,75,80,18.0,4
2008193N20126,KALMAEGI,2008-07-17 18:00:00,24.7,121.5,0,75.0,967.0,75,70,65,70,20.0,3
2008193N20126,KALMAEGI,2008-07-17 21:00:00,25.0,121.3,0,65.0,975.0,80,73,70,75,20.0,3
2008193N20126,KALMAEGI,2008-07-18 00:00:00,25.3,121.2,22,55.0,982.0,85,75,75,80,20.0,3
2008193N20126,KALMAEGI,2008-07-18 03:00:00,25.7,120.9,73,53.0,984.0,73,68,63,63,25.0,3
2008193N20126,KALMAEGI,2008-07-18 06:00:00,26.2,120.5,59,50.0,985.0,60,60,50,45,30.0,3
2008193N20126,KALMAEGI,2008-07-18 09:00:00,26.5,120.1,11,50.0,985.0,60,60,50,45,35.0,3
2008193N20126,KALMAEGI,2008-07-18 12:00:00,26.7,119.9,0,50.0,985.0,60,60,50,45,40.0,2
2008193N20126,KALMAEGI,2008-07-18 15:00:00,26.9,119.7,0,48.0,987.0,60,60,50,45,,2
2008193N20126,KALMAEGI,2008-07-18 18:00:00,27.2,119.7,0,45.0,989.0,60,60,50,45,,2
2008193N20126,KALMAEGI,2008-07-18 21:00:00,27.8,119.9,0,38.0,995.0,30,30,25,22,,2
2008193N20126,KALMAEGI,2008-07-19 00:00:00,28.4,120.1,0,30.0,1000.0, , , , ,,2
2008193N20126,KALMAEGI,2008-07-19 03:00:00,29.0,120.3,0,30.0,1000.0, , , , ,,2
2008193N20126,KALMAEGI,2008-07-19 06:00:00,29.7,120.5,0,30.0,1000.0, , , , ,,2
2008193N20126,KALMAEGI,2008-07-19 09:00:00,30.4,120.8,0,25.0,1004.0, , , , ,,2
2008193N20126,KALMAEGI,2008-07-19 12:00:00,31.2,121.0,0,20.0,1007.0, , , , ,40.0,2
2008193N20126,KALMAEGI,2008-07-19 15:00:00,32.1,121.1,0,20.0,1007.0, , , , ,,2
2008193N20126,KALMAEGI,2008-07-19 18:00:00,32.9,121.4,46,20.0,1007.0, , , , ,,1
2008193N20126,KALMAEGI,2008-07-19 21:00:00,33.6,121.9,119,20.0,1007.0, , , , ,,1
2008193N20126,KALMAEGI,2008-07-20 06:00:00,35.7,124.0,189,20.0,1007.0, , , , ,,1
2008193N20126,KALMAEGI,2008-07-20 09:00:00,36.6,124.7,125,20.0,1007.0, , , , ,,1
2008193N20126,KALMAEGI,2008-07-20 12:00:00,37.5,125.4,23,20.0,1007.0, , , , ,,9
2008193N20126,KALMAEGI,2008-07-20 15:00:00,38.0,125.8,0,20.0,1007.0, , , , ,,9
2008193N20126,KALMAEGI,2008-07-20 18:00:00,38.4,126.3,0,20.0,1007.0, , , , ,,9
