SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2008206N22133,FUNG-WONG,2008-07-27 12:00:00,22.7,123.1,179,90.0,956.0,170,155,150,170,,4
2008206N22133,FUNG-WONG,2008-07-27 15:00:00,22.8,122.7,137,93.0,954.0,173,158,155,170,,4
2008206N22133,FUNG-WONG,2008-07-27 18:00:00,23.0,122.4,102,95.0,952.0,175,160,160,170,15.0,5
2008206N22133,FUNG-WONG,2008-07-27 21:00:00,23.3,121.9,51,90.0,956.0,168,153,155,165,18.0,5
2008206N22133,FUNG-WONG,2008-07-28 00:00:00,23.5,121.3,0,85.0,959.0,160,145,150,160,20.0,4
2008206N22133,FUNG-WONG,2008-07-28 02:00:00,23.8,121.1,0,85.0,959.0,160,145,150,160,25.0,4
2008206N22133,FUNG-WONG,2008-07-28 03:00:00,24.0,121.0,0,85.0,959.0,160,145,150,160,28.0,4
2008206N22133,FUNG-WONG,2008-07-28 04:00:00,24.2,120.9,0,85.0,959.0,160,145,150,160,30.0,4
2008206N22133,FUNG-WONG,2008-07-28 06:00:00,24.3,120.6,0,70.0,970.0,170,145,150,160,35.0,4
2008206N22133,FUNG-WONG,2008-07-28 09:00:00,24.7,120.1,60,65.0,974.0,160,143,143,150,38.0,4
2008206N22133,FUNG-WONG,2008-07-28 12:00:00,25.1,119.8,30,60.0,978.0,150,140,135,140,40.0,4
2008206N22133,FUNG-WONG,2008-07-28 15:00:00,25.6,119.4,0,60.0,978.0,150,140,135,140,40.0,4
2008206N22133,FUNG-WONG,2008-07-28 18:00:00,26.0,119.0,0,45.0,989.0,150,140,135,140,40.0,3
2008206N22133,FUNG-WONG,2008-07-28 21:00:00,26.2,118.6,0,40.0,993.0,150,140,135,140,,3
2008206N22133,FUNG-WONG,2008-07-29 00:00:00,26.5,118.3,0,35.0,996.0,150,140,135,140,,2
2008206N22133,FUNG-WONG,2008-07-29 03:00:00,26.7,118.0,0,30.0,1000.0, , , , ,,2
2008206N22133,FUNG-WONG,2008-07-29 06:00:00,27.1,117.8,0,25.0,1004.0, , , , ,,2
2008206N22133,FUNG-WONG,2008-07-29 09:00:00,27.5,117.7,0,25.0,1004.0, , , , ,,2
2008206N22133,FUNG-WONG,2008-07-29 12:00:00,27.9,117.6,0,25.0,1004.0, , , , ,,2
2008206N22133,FUNG-WONG,2008-07-29 15:00:00,28.2,117.3,0,23.0,1006.0, , , , ,,2
2008206N22133,FUNG-WONG,2008-07-29 18:00:00,28.5,117.1,0,20.0,1007.0, , , , ,,2
