SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2009164N10131,LINFA,2009-06-14 09:00:00,13.5,126.7,195,20.0,1006.0, , , , ,35.0, 
2009164N10131,LINFA,2009-06-14 12:00:00,13.9,126.1,183,20.0,1006.0, , , , ,35.0, 
2009164N10131,LINFA,2009-06-14 15:00:00,14.2,125.4,113,20.0,1007.0, , , , ,53.0, 
2009164N10131,LINFA,2009-06-14 18:00:00,14.5,124.8,77,20.0,1007.0, , , , ,70.0, 
2009164N10131,LINFA,2009-06-14 21:00:00,14.8,124.2,89,18.0,1009.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 00:00:00,15.1,123.7,130,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 03:00:00,15.3,123.2,127,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 06:00:00,15.5,122.8,100,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 09:00:00,15.8,122.6,61,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 12:00:00,16.1,122.4,24,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 15:00:00,16.3,122.2,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 18:00:00,16.6,121.9,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-15 21:00:00,17.1,121.7,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 00:00:00,17.5,121.4,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 03:00:00,17.7,121.0,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 06:00:00,17.7,120.4,0,15.0,1010.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 09:00:00,17.8,119.8,57,18.0,1009.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 12:00:00,17.8,119.2,118,20.0,1007.0, , , , ,, 
2009164N10131,LINFA,2009-06-16 15:00:00,17.7,118.6,180,20.0,1007.0, , , , ,, 
2009164N10131,LINFA,2009-06-20 18:00:00,22.0,118.1,192,70.0,970.0,80,80,75,55,30.0,3
2009164N10131,LINFA,2009-06-20 21:00:00,22.4,118.3,161,68.0,972.0,75,73,65,50,30.0,3
2009164N10131,LINFA,2009-06-21 00:00:00,22.9,118.4,121,65.0,974.0,70,65,55,45,30.0,3
2009164N10131,LINFA,2009-06-21 03:00:00,23.3,118.4,90,60.0,978.0,88,98,85,68,38.0,3
2009164N10131,LINFA,2009-06-21 06:00:00,23.7,118.4,60,55.0,982.0,105,130,115,90,45.0,3
2009164N10131,LINFA,2009-06-21 09:00:00,24.1,118.4,37,53.0,984.0,105,130,115,90,50.0,3
2009164N10131,LINFA,2009-06-21 12:00:00,24.4,118.4,22,50.0,985.0,105,130,115,90,55.0,3
2009164N10131,LINFA,2009-06-21 15:00:00,24.8,118.6,0,43.0,991.0,105,130,115,90,45.0,3
2009164N10131,LINFA,2009-06-21 18:00:00,25.2,118.8,0,35.0,997.0,105,130,115,90,35.0,2
2009164N10131,LINFA,2009-06-21 21:00:00,25.5,119.1,0,33.0,998.0, , , , ,28.0,2
2009164N10131,LINFA,2009-06-22 00:00:00,25.9,119.5,0,30.0,998.0, , , , ,20.0,2
2009164N10131,LINFA,2009-06-22 03:00:00,26.5,119.9,9,30.0,999.0, , , , ,20.0,2
2009164N10131,LINFA,2009-06-22 06:00:00,27.1,120.4,0,30.0,1000.0, , , , ,20.0,2
2009164N10131,LINFA,2009-06-22 09:00:00,27.7,120.9,14,28.0,1002.0, , , , ,20.0,2
2009164N10131,LINFA,2009-06-22 12:00:00,28.3,121.5,0,25.0,1004.0, , , , ,20.0,1
