SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2010241N25125,NAMTHEUN,2010-08-29 12:00:00,25.5,123.9,198,20.0,1004.0, , , , ,15.0,1
2010241N25125,NAMTHEUN,2010-08-29 15:00:00,25.6,123.7,183,20.0,1005.0, , , , ,30.0,1
2010241N25125,NAMTHEUN,2010-08-29 18:00:00,25.8,123.5,175,20.0,1006.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-29 21:00:00,25.9,123.4,172,23.0,1005.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-30 00:00:00,26.0,123.2,164,25.0,1004.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-30 03:00:00,26.1,123.0,158,28.0,1002.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-30 06:00:00,26.1,122.7,141,30.0,1000.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-30 09:00:00,26.1,122.4,128,33.0,998.0, , , , ,45.0,1
2010241N25125,NAMTHEUN,2010-08-30 12:00:00,26.0,122.0,97,35.0,996.0, , , , ,45.0,2
2010241N25125,NAMTHEUN,2010-08-30 15:00:00,25.8,121.7,67,38.0,995.0, , , , ,43.0,2
2010241N25125,NAMTHEUN,2010-08-30 18:00:00,25.7,121.4,55,40.0,993.0,30,25,25,25,40.0,2
2010241N25125,NAMTHEUN,2010-08-30 21:00:00,25.6,121.1,53,40.0,993.0,30,25,25,25,30.0,2
2010241N25125,NAMTHEUN,2010-08-31 00:00:00,25.5,120.8,59,40.0,993.0,30,25,25,25,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 03:00:00,25.4,120.4,70,38.0,995.0,30,25,25,25,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 06:00:00,25.3,120.2,51,35.0,996.0,30,25,25,25,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 09:00:00,25.2,120.0,37,35.0,996.0,30,25,25,25,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 12:00:00,25.1,119.7,24,35.0,996.0,30,25,25,25,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 15:00:00,25.0,119.5,30,33.0,998.0, , , , ,20.0,2
2010241N25125,NAMTHEUN,2010-08-31 18:00:00,24.8,119.1,23,30.0,1000.0, , , , ,20.0,2
