SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2010285N13145,MEGI,2010-10-17 18:00:00,17.6,124.2,192,155.0,907.0,145,110,130,150,10.0,6
2010285N13145,MEGI,2010-10-17 21:00:00,17.5,123.8,148,153.0,909.0,148,115,125,145,10.0,6
2010285N13145,MEGI,2010-10-18 00:00:00,17.4,123.3,96,150.0,911.0,150,120,120,140,10.0,6
2010285N13145,MEGI,2010-10-18 03:00:00,17.3,122.6,21,135.0,922.0,150,120,120,140,10.0,6
2010285N13145,MEGI,2010-10-18 06:00:00,17.1,121.9,0,120.0,933.0,150,120,120,140,10.0,6
2010285N13145,MEGI,2010-10-18 09:00:00,16.9,121.2,0,105.0,945.0,150,120,120,140,13.0,6
2010285N13145,MEGI,2010-10-18 12:00:00,16.8,120.6,0,90.0,956.0,150,120,120,140,15.0,5
2010285N13145,MEGI,2010-10-18 15:00:00,16.6,120.0,31,93.0,954.0,145,120,120,140,15.0,5
2010285N13145,MEGI,2010-10-18 18:00:00,16.6,119.5,46,95.0,952.0,140,120,120,140,15.0,5
2010285N13145,MEGI,2010-10-18 21:00:00,16.4,119.2,65,95.0,952.0,140,120,120,140,15.0,5
2010285N13145,MEGI,2010-10-19 00:00:00,16.4,119.0,86,95.0,952.0,140,120,120,140,15.0,5
2010285N13145,MEGI,2010-10-19 03:00:00,16.5,118.7,119,98.0,950.0,135,115,120,145,15.0,5
2010285N13145,MEGI,2010-10-19 06:00:00,16.6,118.5,142,100.0,948.0,130,110,120,150,15.0,5
2010285N13145,MEGI,2010-10-19 09:00:00,16.6,118.1,183,103.0,946.0,130,115,120,148,15.0,5
2010285N13145,MEGI,2010-10-22 12:00:00,22.2,118.3,182,90.0,956.0,145,135,135,145,15.0,4
2010285N13145,MEGI,2010-10-22 15:00:00,22.5,118.3,152,85.0,960.0,138,125,125,138,15.0,4
2010285N13145,MEGI,2010-10-22 18:00:00,22.8,118.2,117,80.0,963.0,130,115,115,130,15.0,4
2010285N13145,MEGI,2010-10-22 21:00:00,23.1,118.1,84,75.0,967.0,120,108,108,103,15.0,4
2010285N13145,MEGI,2010-10-23 00:00:00,23.4,118.0,52,70.0,970.0,110,100,100,75,15.0,4
2010285N13145,MEGI,2010-10-23 03:00:00,23.8,117.9,15,63.0,976.0,93,80,78,70,15.0,4
2010285N13145,MEGI,2010-10-23 06:00:00,24.1,117.8,0,55.0,982.0,75,60,55,65,15.0,4
2010285N13145,MEGI,2010-10-23 09:00:00,24.3,117.7,0,50.0,986.0,75,60,55,65,,4
2010285N13145,MEGI,2010-10-23 12:00:00,24.5,117.8,0,45.0,989.0,75,60,55,65,,2
2010285N13145,MEGI,2010-10-23 15:00:00,24.7,117.9,0,40.0,993.0,75,60,55,65,,2
2010285N13145,MEGI,2010-10-23 18:00:00,24.9,118.0,0,35.0,996.0,75,60,55,65,,1
2010285N13145,MEGI,2010-10-23 21:00:00,25.1,118.2,0,33.0,998.0, , , , ,,1
2010285N13145,MEGI,2010-10-24 00:00:00,25.3,118.4,0,30.0,1000.0, , , , ,,1
2010285N13145,MEGI,2010-10-24 03:00:00,25.7,118.5,0,30.0,1000.0, , , , ,,1
2010285N13145,MEGI,2010-10-24 06:00:00,26.2,118.5,0,30.0,1000.0, , , , ,,0
