SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2012209N11131,SAOLA,2012-08-01 06:00:00,23.4,123.4,195,90.0,956.0,140,135,130,140,20.0,4
2012209N11131,SAOLA,2012-08-01 09:00:00,23.7,123.2,159,90.0,956.0,140,135,130,140,18.0,4
2012209N11131,SAOLA,2012-08-01 12:00:00,24.0,123.0,124,90.0,956.0,140,135,130,140,15.0,4
2012209N11131,SAOLA,2012-08-01 15:00:00,24.1,122.5,75,90.0,956.0,140,133,130,140,15.0,4
2012209N11131,SAOLA,2012-08-01 18:00:00,24.1,122.1,45,90.0,956.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-01 21:00:00,24.0,122.0,42,85.0,959.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-01 22:00:00,23.9,122.0,46,80.0,963.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-01 23:00:00,23.9,122.0,46,75.0,967.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-02 00:00:00,24.0,122.1,51,65.0,974.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-02 03:00:00,24.4,122.2,32,55.0,982.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-02 06:00:00,24.9,122.1,15,45.0,989.0,140,130,130,140,15.0,4
2012209N11131,SAOLA,2012-08-02 09:00:00,25.3,121.8,22,45.0,989.0,93,85,85,93,15.0,4
2012209N11131,SAOLA,2012-08-02 12:00:00,25.7,121.4,55,45.0,989.0,45,40,40,45,15.0,4
2012209N11131,SAOLA,2012-08-02 15:00:00,26.0,121.0,97,45.0,989.0,45,40,40,45,20.0,4
2012209N11131,SAOLA,2012-08-02 18:00:00,26.3,120.7,68,45.0,989.0,45,40,40,45,25.0,3
2012209N11131,SAOLA,2012-08-02 21:00:00,26.6,120.3,19,40.0,993.0,45,40,40,45,25.0,3
2012209N11131,SAOLA,2012-08-03 00:00:00,26.9,119.9,0,35.0,996.0,45,40,40,45,25.0,3
2012209N11131,SAOLA,2012-08-03 03:00:00,27.2,119.3,0,30.0,1000.0, , , , ,20.0,3
2012209N11131,SAOLA,2012-08-03 06:00:00,27.4,118.5,0,25.0,1004.0, , , , ,15.0,2
2012209N11131,SAOLA,2012-08-03 09:00:00,27.6,117.9,0,23.0,1006.0, , , , ,,2
2012209N11131,SAOLA,2012-08-03 12:00:00,27.7,117.3,0,20.0,1007.0, , , , ,,2
