SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2012215N23146,HAIKUI,2012-08-07 06:00:00,27.7,123.5,198,65.0,974.0,100,90,90,100,35.0,4
2012215N23146,HAIKUI,2012-08-07 09:00:00,27.9,123.3,172,65.0,974.0,95,85,85,95,33.0,4
2012215N23146,HAIKUI,2012-08-07 12:00:00,28.2,123.0,137,65.0,974.0,90,80,80,90,30.0,5
2012215N23146,HAIKUI,2012-08-07 15:00:00,28.5,122.6,90,65.0,974.0,90,80,80,90,30.0,5
2012215N23146,HAIKUI,2012-08-07 18:00:00,28.9,122.3,44,65.0,974.0,90,80,80,90,30.0,5
2012215N23146,HAIKUI,2012-08-07 21:00:00,29.1,121.8,11,63.0,976.0,90,80,80,90,30.0,5
2012215N23146,HAIKUI,2012-08-08 00:00:00,29.4,121.4,0,60.0,978.0,90,80,80,90,30.0,4
2012215N23146,HAIKUI,2012-08-08 03:00:00,29.7,120.9,0,53.0,984.0,90,80,80,90,38.0,4
2012215N23146,HAIKUI,2012-08-08 06:00:00,30.1,120.4,0,45.0,989.0,90,80,80,90,45.0,4
2012215N23146,HAIKUI,2012-08-08 09:00:00,30.3,119.9,0,40.0,993.0,90,80,80,90,45.0,4
2012215N23146,HAIKUI,2012-08-08 12:00:00,30.4,119.4,0,35.0,996.0,90,80,80,90,45.0,3
2012215N23146,HAIKUI,2012-08-08 15:00:00,30.5,118.9,0,35.0,996.0,90,80,80,90,45.0,3
2012215N23146,HAIKUI,2012-08-08 18:00:00,30.6,118.6,0,35.0,996.0,90,80,80,90,45.0,2
2012215N23146,HAIKUI,2012-08-08 21:00:00,30.6,118.2,0,33.0,998.0, , , , ,45.0,2
2012215N23146,HAIKUI,2012-08-09 00:00:00,30.7,117.9,0,30.0,1000.0, , , , ,45.0,2
2012215N23146,HAIKUI,2012-08-09 03:00:00,30.7,117.7,0,30.0,1000.0, , , , ,45.0,2
2012215N23146,HAIKUI,2012-08-09 06:00:00,30.7,117.5,0,30.0,1000.0, , , , ,45.0,2
2012215N23146,HAIKUI,2012-08-09 09:00:00,30.7,117.4,0,28.0,997.0, , , , ,48.0,2
2012215N23146,HAIKUI,2012-08-09 12:00:00,30.7,117.3,0,25.0,994.0, , , , ,50.0,1
2012215N23146,HAIKUI,2012-08-09 15:00:00,30.7,117.2,0,23.0,1001.0, , , , ,50.0,1
2012215N23146,HAIKUI,2012-08-09 18:00:00,30.7,117.1,0,20.0,1007.0, , , , ,50.0,1
