SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2014197N10137,MATMO,2014-07-22 06:00:00,21.9,122.7,185,85.0,959.0,145,130,120,135,15.0,5
2014197N10137,MATMO,2014-07-22 09:00:00,22.3,122.3,128,85.0,959.0,145,130,120,135,18.0,5
2014197N10137,MATMO,2014-07-22 12:00:00,22.6,122.0,83,85.0,959.0,145,130,120,135,20.0,5
2014197N10137,MATMO,2014-07-22 15:00:00,23.0,121.5,15,83.0,961.0,145,130,120,135,20.0,5
2014197N10137,MATMO,2014-07-22 18:00:00,23.5,121.0,0,80.0,963.0,145,130,120,135,20.0,4
2014197N10137,MATMO,2014-07-22 21:00:00,24.0,120.5,0,75.0,967.0,140,135,120,125,20.0,4
2014197N10137,MATMO,2014-07-23 00:00:00,24.4,120.1,45,70.0,970.0,135,140,120,115,20.0,4
2014197N10137,MATMO,2014-07-23 03:00:00,24.7,119.8,70,68.0,972.0,125,130,110,105,18.0,4
2014197N10137,MATMO,2014-07-23 06:00:00,25.1,119.6,22,65.0,974.0,115,120,100,95,15.0,3
2014197N10137,MATMO,2014-07-23 09:00:00,25.4,119.2,10,55.0,982.0,115,120,100,95,18.0,3
2014197N10137,MATMO,2014-07-23 12:00:00,25.7,118.8,0,45.0,989.0,115,120,100,95,20.0,3
2014197N10137,MATMO,2014-07-23 15:00:00,26.0,118.5,0,40.0,993.0, , , , ,20.0,3
2014197N10137,MATMO,2014-07-23 18:00:00,26.5,118.2,0,35.0,996.0, , , , ,20.0,2
2014197N10137,MATMO,2014-07-23 21:00:00,27.1,118.0,0,30.0,1000.0, , , , ,20.0,2
2014197N10137,MATMO,2014-07-24 00:00:00,27.8,117.8,0,25.0,1004.0, , , , ,20.0,2
