SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2015211N13162,SOUDELOR,2015-08-07 15:00:00,23.3,123.3,188,103.0,946.0,220,175,185,185,10.0,5
2015211N13162,SOUDELOR,2015-08-07 18:00:00,23.7,122.6,111,100.0,948.0,220,175,185,185,7.0,5
2015211N13162,SOUDELOR,2015-08-07 21:00:00,24.0,121.7,15,98.0,950.0,220,175,185,185,6.0,5
2015211N13162,SOUDELOR,2015-08-08 00:00:00,24.0,121.0,0,95.0,952.0,220,175,185,185,5.0,5
2015211N13162,SOUDELOR,2015-08-08 03:00:00,23.9,120.4,0,90.0,956.0,220,175,185,185,5.0,5
2015211N13162,SOUDELOR,2015-08-08 06:00:00,24.1,120.0,32,75.0,967.0,220,175,185,185,10.0,4
2015211N13162,SOUDELOR,2015-08-08 09:00:00,24.4,119.7,75,73.0,969.0,220,175,185,185,10.0,4
2015211N13162,SOUDELOR,2015-08-08 12:00:00,24.8,119.4,39,70.0,970.0,220,175,185,185,10.0,4
2015211N13162,SOUDELOR,2015-08-08 15:00:00,25.1,119.0,0,63.0,976.0,220,175,185,185,10.0,4
2015211N13162,SOUDELOR,2015-08-08 18:00:00,25.4,118.5,0,55.0,982.0,220,175,185,185,10.0,3
2015211N13162,SOUDELOR,2015-08-08 21:00:00,25.6,118.0,0,48.0,988.0,220,175,185,185,10.0,3
2015211N13162,SOUDELOR,2015-08-09 00:00:00,25.8,117.6,0,40.0,993.0,220,175,185,185,10.0,2
2015211N13162,SOUDELOR,2015-08-09 03:00:00,26.2,117.2,0,38.0,995.0, , , , ,20.0,2
2015211N13162,SOUDELOR,2015-08-09 06:00:00,26.6,116.9,0,35.0,996.0, , , , ,30.0,2
