SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2016185N08145,NEPARTAK,2016-07-07 12:00:00,22.0,122.6,174,135.0,922.0,130,120,140,130,12.0,6
2016185N08145,NEPARTAK,2016-07-07 15:00:00,22.2,122.2,128,128.0,928.0,130,120,140,130,11.0,6
2016185N08145,NEPARTAK,2016-07-07 18:00:00,22.4,121.7,75,120.0,933.0,130,120,140,130,10.0,6
2016185N08145,NEPARTAK,2016-07-07 21:00:00,22.5,121.2,23,113.0,939.0,130,120,140,130,10.0,6
2016185N08145,NEPARTAK,2016-07-07 22:00:00,22.5,121.0,10,110.0,941.0,130,120,140,130,10.0,6
2016185N08145,NEPARTAK,2016-07-08 00:00:00,22.6,120.6,0,95.0,952.0,120,120,120,140,10.0,5
2016185N08145,NEPARTAK,2016-07-08 03:00:00,22.9,120.3,0,80.0,963.0,130,130,125,140,18.0,5
2016185N08145,NEPARTAK,2016-07-08 06:00:00,23.2,120.0,10,65.0,974.0,140,140,130,140,25.0,4
2016185N08145,NEPARTAK,2016-07-08 09:00:00,23.3,119.9,23,60.0,978.0,135,135,130,135,30.0,4
2016185N08145,NEPARTAK,2016-07-08 12:00:00,23.4,119.7,46,55.0,982.0,130,130,130,130,35.0,4
2016185N08145,NEPARTAK,2016-07-08 15:00:00,23.5,119.6,52,50.0,986.0,130,130,130,130,35.0,4
2016185N08145,NEPARTAK,2016-07-08 18:00:00,23.7,119.5,62,45.0,989.0,130,130,130,130,35.0,3
2016185N08145,NEPARTAK,2016-07-08 21:00:00,24.1,119.2,75,43.0,991.0,140,130,130,130,35.0,3
2016185N08145,NEPARTAK,2016-07-09 00:00:00,24.4,119.0,37,40.0,993.0,150,130,130,130,35.0,2
2016185N08145,NEPARTAK,2016-07-09 03:00:00,24.7,118.8,10,35.0,997.0,75,65,65,65,40.0,2
2016185N08145,NEPARTAK,2016-07-09 06:00:00,24.8,118.6,0,30.0,1000.0, , , , ,45.0,2
2016185N08145,NEPARTAK,2016-07-09 09:00:00,25.0,118.3,0,28.0,1002.0, , , , ,45.0,2
2016185N08145,NEPARTAK,2016-07-09 12:00:00,25.2,118.0,0,25.0,1004.0, , , , ,45.0,2
