SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2016253N13144,MERANTI,2016-09-13 18:00:00,20.8,121.8,154,165.0,899.0,190,170,170,200,12.0,6
2016253N13144,MERANTI,2016-09-13 21:00:00,21.1,121.3,98,160.0,900.0,185,180,170,200,12.0,6
2016253N13144,MERANTI,2016-09-14 00:00:00,21.5,120.8,44,155.0,900.0,180,190,170,200,12.0,6
2016253N13144,MERANTI,2016-09-14 03:00:00,22.0,120.3,41,140.0,915.0,180,190,170,200,11.0,6
2016253N13144,MERANTI,2016-09-14 06:00:00,22.5,119.8,51,125.0,929.0,180,190,170,200,10.0,6
2016253N13144,MERANTI,2016-09-14 09:00:00,23.0,119.4,72,118.0,935.0,175,170,160,185,10.0,6
2016253N13144,MERANTI,2016-09-14 12:00:00,23.4,119.0,114,110.0,941.0,170,150,150,170,10.0,6
2016253N13144,MERANTI,2016-09-14 15:00:00,23.9,118.7,67,98.0,950.0,170,150,140,160,18.0,6
2016253N13144,MERANTI,2016-09-14 18:00:00,24.3,118.4,30,85.0,959.0,170,150,130,150,25.0,6
2016253N13144,MERANTI,2016-09-14 21:00:00,24.8,118.0,0,78.0,965.0,160,130,115,135,30.0,6
2016253N13144,MERANTI,2016-09-15 00:00:00,25.2,117.6,0,70.0,970.0,150,110,100,120,35.0,3
2016253N13144,MERANTI,2016-09-15 03:00:00,25.7,117.2,0,55.0,982.0,150,110,100,120,35.0,3
2016253N13144,MERANTI,2016-09-15 06:00:00,26.2,116.9,0,40.0,993.0,150,110,100,120,35.0,2
2016253N13144,MERANTI,2016-09-15 09:00:00,26.7,116.9,0,30.0,999.0, , , , ,35.0,2
2016253N13144,MERANTI,2016-09-15 12:00:00,27.2,117.1,0,20.0,1004.0, , , , ,35.0,1
