SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2017206N13129,NESAT,2017-07-29 00:00:00,22.4,123.2,200,80.0,963.0,125,115,100,115,25.0,4
2017206N13129,NESAT,2017-07-29 03:00:00,22.9,123.0,165,83.0,961.0,125,115,100,115,20.0,4
2017206N13129,NESAT,2017-07-29 06:00:00,23.4,122.7,126,85.0,959.0,125,115,100,115,15.0,4
2017206N13129,NESAT,2017-07-29 09:00:00,24.0,122.4,75,90.0,956.0,150,235,235,80,15.0,4
2017206N13129,NESAT,2017-07-29 12:00:00,24.6,121.8,0,80.0,963.0,125,115,100,115,15.0,4
2017206N13129,NESAT,2017-07-29 15:00:00,24.9,120.9,10,70.0,971.0,138,110,103,133,15.0,4
2017206N13129,NESAT,2017-07-29 18:00:00,25.1,120.3,68,60.0,978.0,150,105,105,150,15.0,4
2017206N13129,NESAT,2017-07-29 21:00:00,25.4,119.7,0,58.0,980.0,128,105,95,118,20.0,4
2017206N13129,NESAT,2017-07-30 00:00:00,25.8,119.2,0,55.0,982.0,105,105,85,85,25.0,3
2017206N13129,NESAT,2017-07-30 03:00:00,25.9,118.6,0,48.0,988.0,105,105,85,85,25.0,3
2017206N13129,NESAT,2017-07-30 06:00:00,26.0,118.0,0,40.0,993.0,105,105,85,85,25.0,1
2017206N13129,NESAT,2017-07-30 09:00:00,25.9,117.5,0,33.0,999.0, , , , ,25.0,1
2017206N13129,NESAT,2017-07-30 12:00:00,25.8,117.2,0,25.0,1004.0, , , , ,25.0,1
