SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2017247N16132,GUCHOL,2017-09-05 09:00:00,19.4,123.5,168,25.0,1004.0, , , , ,80.0,1
2017247N16132,GUCHOL,2017-09-05 12:00:00,19.7,122.6,148,25.0,1004.0, , , , ,80.0,1
2017247N16132,GUCHOL,2017-09-05 15:00:00,20.0,121.8,172,25.0,1004.0, , , , ,55.0,1
2017247N16132,GUCHOL,2017-09-05 18:00:00,20.2,121.1,180,25.0,1004.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-05 21:00:00,20.2,120.7,179,28.0,1002.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 00:00:00,20.3,120.4,181,30.0,1000.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 03:00:00,20.4,120.1,178,30.0,1000.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 06:00:00,20.7,120.0,152,30.0,1000.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 09:00:00,21.2,120.1,99,30.0,1000.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 12:00:00,21.7,120.0,75,30.0,1000.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 15:00:00,22.0,119.6,91,28.0,1003.0, , , , ,30.0,2
2017247N16132,GUCHOL,2017-09-06 18:00:00,22.2,119.1,127,25.0,1005.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-06 21:00:00,22.5,118.9,137,25.0,1005.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-07 00:00:00,22.8,118.9,127,25.0,1005.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-07 03:00:00,23.2,119.0,112,25.0,1005.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-07 06:00:00,23.7,119.1,102,25.0,1005.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-07 09:00:00,24.2,119.3,75,23.0,1006.0, , , , ,30.0,1
2017247N16132,GUCHOL,2017-09-07 12:00:00,24.7,119.4,49,20.0,1007.0, , , , ,30.0,0
2017247N16132,GUCHOL,2017-09-07 15:00:00,25.2,119.5,15,18.0,1009.0, , , , ,28.0,0
2017247N16132,GUCHOL,2017-09-07 18:00:00,25.4,119.6,0,15.0,1010.0, , , , ,25.0, 
