SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2018251N20122,BARIJAT,2018-09-08 12:00:00,20.7,122.2,190,15.0,1008.0, , , , ,40.0,1
2018251N20122,BARIJAT,2018-09-08 15:00:00,20.9,122.4,191,18.0,1007.0, , , , ,40.0,1
2018251N20122,BARIJAT,2018-09-08 18:00:00,21.0,122.5,193,20.0,1006.0, , , , ,40.0,1
2018251N20122,BARIJAT,2018-09-08 21:00:00,21.1,122.6,197,20.0,1006.0, , , , ,40.0,1
2018251N20122,BARIJAT,2018-09-09 12:00:00,21.8,122.8,196,25.0,1004.0, , , , ,40.0,1
2018251N20122,BARIJAT,2018-09-09 15:00:00,21.8,122.6,175,25.0,1004.0, , , , ,43.0,1
2018251N20122,BARIJAT,2018-09-09 18:00:00,21.8,122.3,144,25.0,1004.0, , , , ,45.0,1
2018251N20122,BARIJAT,2018-09-09 21:00:00,21.7,122.1,125,28.0,1003.0, , , , ,45.0,1
2018251N20122,BARIJAT,2018-09-10 00:00:00,21.6,121.9,108,30.0,1002.0, , , , ,45.0,1
2018251N20122,BARIJAT,2018-09-10 03:00:00,21.5,121.6,85,33.0,1001.0, , , , ,45.0,1
2018251N20122,BARIJAT,2018-09-10 06:00:00,21.4,121.3,69,35.0,1000.0,40,40,40,50,45.0,1
2018251N20122,BARIJAT,2018-09-10 09:00:00,21.4,121.0,56,38.0,999.0,50,40,40,50,38.0,1
2018251N20122,BARIJAT,2018-09-10 12:00:00,21.3,120.6,67,40.0,998.0,60,40,40,50,30.0,1
2018251N20122,BARIJAT,2018-09-10 15:00:00,21.2,120.1,99,40.0,998.0,60,40,40,55,30.0,1
2018251N20122,BARIJAT,2018-09-10 18:00:00,21.1,119.6,144,40.0,998.0,60,40,40,60,30.0,1
2018251N20122,BARIJAT,2018-09-10 21:00:00,21.0,119.1,193,40.0,998.0,60,40,40,60,30.0,1
2018251N20122,BARIJAT,2018-09-12 03:00:00,20.8,114.9,178,40.0,999.0,60,50,50,60,33.0,2
2018251N20122,BARIJAT,2018-09-12 06:00:00,20.9,114.5,157,40.0,999.0,60,50,50,60,35.0,2
2018251N20122,BARIJAT,2018-09-12 09:00:00,21.0,114.0,142,40.0,999.0,60,50,50,60,35.0,2
2018251N20122,BARIJAT,2018-09-12 12:00:00,20.9,113.4,119,40.0,999.0,60,50,50,60,35.0,2
2018251N20122,BARIJAT,2018-09-12 15:00:00,20.9,112.8,102,43.0,998.0,60,50,50,60,35.0,2
2018251N20122,BARIJAT,2018-09-12 18:00:00,20.9,112.1,84,45.0,997.0,60,50,50,60,35.0,2
2018251N20122,BARIJAT,2018-09-12 21:00:00,21.0,111.4,45,40.0,1000.0,55,45,45,55,35.0,3
2018251N20122,BARIJAT,2018-09-13 00:00:00,21.2,110.7,10,35.0,1003.0,50,40,40,50,35.0,3
2018251N20122,BARIJAT,2018-09-13 03:00:00,21.4,110.1,0,30.0,1005.0, , , , ,35.0,2
2018251N20122,BARIJAT,2018-09-13 06:00:00,21.5,109.6,10,25.0,1007.0, , , , ,35.0,1
2018251N20122,BARIJAT,2018-09-13 09:00:00,21.5,109.0,11,23.0,1008.0, , , , ,35.0,1
2018251N20122,BARIJAT,2018-09-13 12:00:00,21.4,108.4,22,20.0,1008.0, , , , ,35.0,1
2018251N20122,BARIJAT,2018-09-13 15:00:00,21.6,107.7,0,18.0,1009.0, , , , ,35.0,0
2018251N20122,BARIJAT,2018-09-13 18:00:00,21.8,107.0,0,15.0,1009.0, , , , ,35.0,0
