SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2020213N15131,HAGUPIT,2020-08-02 21:00:00,24.5,123.7,180,58.0,985.0,88,95,73,75,28.0,3
2020213N15131,HAGUPIT,2020-08-03 00:00:00,25.0,123.4,140,60.0,983.0,90,100,80,85,25.0,3
2020213N15131,HAGUPIT,2020-08-03 03:00:00,25.5,123.0,114,65.0,980.0,93,110,78,83,15.0,3
2020213N15131,HAGUPIT,2020-08-03 06:00:00,26.2,122.5,143,70.0,977.0,95,120,75,80,5.0,4
2020213N15131,HAGUPIT,2020-08-03 09:00:00,26.5,122.1,153,73.0,974.0,108,130,75,73,10.0,4
2020213N15131,HAGUPIT,2020-08-03 12:00:00,26.8,121.7,126,75.0,971.0,120,140,75,65,15.0,5
2020213N15131,HAGUPIT,2020-08-03 15:00:00,27.2,121.4,76,75.0,971.0,103,130,75,58,15.0,5
2020213N15131,HAGUPIT,2020-08-03 18:00:00,27.7,121.1,29,75.0,971.0,85,120,75,50,15.0,5
2020213N15131,HAGUPIT,2020-08-03 21:00:00,28.2,120.9,0,63.0,979.0,63,85,55,35,20.0,4
2020213N15131,HAGUPIT,2020-08-04 00:00:00,28.6,120.6,0,50.0,986.0,40,50,35,20,25.0,3
2020213N15131,HAGUPIT,2020-08-04 03:00:00,29.1,120.5,0,40.0,990.0,20,25,17,10,28.0,3
2020213N15131,HAGUPIT,2020-08-04 06:00:00,29.6,120.4,0,30.0,993.0, , , , ,30.0,3
2020213N15131,HAGUPIT,2020-08-04 09:00:00,30.1,120.3,0,28.0,996.0, , , , ,35.0,2
2020213N15131,HAGUPIT,2020-08-04 12:00:00,30.8,120.3,0,25.0,998.0, , , , ,40.0,2
2020213N15131,HAGUPIT,2020-08-04 15:00:00,31.6,120.5,0,25.0,999.0, , , , ,35.0,2
2020213N15131,HAGUPIT,2020-08-04 18:00:00,32.4,120.6,0,25.0,1000.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-04 21:00:00,33.3,120.6,0,23.0,1001.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 00:00:00,34.0,120.8,43,20.0,1002.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 03:00:00,34.6,121.1,80,20.0,1000.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 06:00:00,35.1,121.4,128,20.0,998.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 09:00:00,35.8,121.9,103,20.0,998.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 12:00:00,36.5,122.6,42,20.0,998.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 15:00:00,37.3,123.6,88,18.0,999.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 18:00:00,38.1,124.9,0,15.0,1000.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-05 21:00:00,38.8,126.5,0,20.0,998.0, , , , ,30.0,2
2020213N15131,HAGUPIT,2020-08-06 00:00:00,39.5,128.2,51,25.0,995.0, , , , ,30.0,9
