SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2020303N05149,ATSANI,2020-11-05 21:00:00,20.8,122.3,190,48.0,1003.0,73,58,55,83,25.0,3
2020303N05149,ATSANI,2020-11-06 00:00:00,21.0,121.9,144,50.0,1002.0,65,60,55,85,25.0,3
2020303N05149,ATSANI,2020-11-06 03:00:00,21.2,121.4,93,48.0,1003.0,65,60,53,85,25.0,3
2020303N05149,ATSANI,2020-11-06 06:00:00,21.3,120.9,67,45.0,1003.0,65,60,50,85,25.0,3
2020303N05149,ATSANI,2020-11-06 09:00:00,21.6,120.6,35,48.0,1002.0,58,55,48,83,25.0,3
2020303N05149,ATSANI,2020-11-06 12:00:00,21.8,120.3,42,50.0,1001.0,50,50,45,80,25.0,3
2020303N05149,ATSANI,2020-11-06 15:00:00,22.0,120.0,63,50.0,1001.0,50,45,43,78,23.0,3
2020303N05149,ATSANI,2020-11-06 18:00:00,22.2,119.7,70,50.0,1001.0,50,40,40,75,20.0,3
2020303N05149,ATSANI,2020-11-06 21:00:00,22.5,119.6,70,45.0,1003.0,45,35,35,63,20.0,3
2020303N05149,ATSANI,2020-11-07 00:00:00,22.6,119.4,85,40.0,1005.0,40,30,30,50,20.0,3
2020303N05149,ATSANI,2020-11-07 03:00:00,22.7,119.3,92,35.0,1008.0,20,15,15,25,25.0,3
2020303N05149,ATSANI,2020-11-07 06:00:00,22.7,119.2,102,30.0,1011.0, , , , ,30.0,2
