SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2021197N17135,IN-FA,2021-07-24 18:00:00,28.6,123.7,178,60.0,966.0,220,180,140,150,22.0,4
2021197N17135,IN-FA,2021-07-24 21:00:00,29.2,123.4,135,58.0,969.0,190,170,130,145,29.0,4
2021197N17135,IN-FA,2021-07-25 00:00:00,29.7,123.0,106,55.0,971.0,160,160,120,140,35.0,4
2021197N17135,IN-FA,2021-07-25 03:00:00,29.9,122.7,77,55.0,972.0,160,160,100,140,35.0,4
2021197N17135,IN-FA,2021-07-25 06:00:00,30.0,122.4,53,55.0,972.0,160,160,80,140,35.0,4
2021197N17135,IN-FA,2021-07-25 09:00:00,30.1,122.2,44,55.0,974.0,135,140,75,115,35.0,3
2021197N17135,IN-FA,2021-07-25 12:00:00,30.2,122.1,48,55.0,975.0,110,120,70,90,35.0,3
2021197N17135,IN-FA,2021-07-25 15:00:00,30.3,121.8,30,50.0,979.0,100,105,60,75,33.0,3
2021197N17135,IN-FA,2021-07-25 18:00:00,30.4,121.6,24,45.0,982.0,90,90,50,60,30.0,3
2021197N17135,IN-FA,2021-07-25 21:00:00,30.5,121.4,29,43.0,985.0,75,75,40,45,30.0,3
2021197N17135,IN-FA,2021-07-26 00:00:00,30.6,121.2,11,40.0,988.0,60,60,30,30,30.0,3
2021197N17135,IN-FA,2021-07-26 03:00:00,30.7,121.1,0,38.0,986.0, , , , ,25.0,3
2021197N17135,IN-FA,2021-07-26 06:00:00,30.9,120.9,0,35.0,983.0, , , , ,20.0,3
2021197N17135,IN-FA,2021-07-26 09:00:00,30.9,120.7,0,33.0,984.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-26 12:00:00,31.0,120.4,0,30.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-26 15:00:00,31.1,120.2,0,28.0,986.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-26 18:00:00,31.2,119.9,0,25.0,986.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-26 21:00:00,31.2,119.7,0,25.0,987.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 00:00:00,31.3,119.4,0,25.0,987.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 03:00:00,31.3,119.2,0,25.0,986.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 06:00:00,31.3,119.0,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 09:00:00,31.4,119.0,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 12:00:00,31.6,118.9,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 15:00:00,31.8,118.6,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 18:00:00,32.2,118.3,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-27 21:00:00,32.4,117.9,0,25.0,985.0, , , , ,20.0,2
2021197N17135,IN-FA,2021-07-28 00:00:00,32.6,117.6,0,25.0,985.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 03:00:00,32.9,117.3,0,23.0,987.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 06:00:00,33.1,117.1,0,20.0,988.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 09:00:00,33.1,116.9,0,20.0,989.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 12:00:00,33.2,116.9,0,20.0,989.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 15:00:00,33.5,116.9,0,20.0,989.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 18:00:00,34.0,116.8,0,20.0,988.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-28 21:00:00,34.5,116.8,0,20.0,988.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 00:00:00,35.0,116.9,0,20.0,988.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 03:00:00,35.3,117.0,0,20.0,989.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 06:00:00,35.7,117.2,0,20.0,990.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 09:00:00,36.3,117.4,0,18.0,991.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 12:00:00,36.9,117.6,0,15.0,992.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 15:00:00,37.5,117.8,0,15.0,992.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 18:00:00,38.1,118.0,0,15.0,992.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-29 21:00:00,38.4,118.4,37,15.0,992.0, , , , ,20.0,1
2021197N17135,IN-FA,2021-07-30 00:00:00,38.6,118.7,55,15.0,992.0, , , , ,20.0,1
