SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2021214N21110,LUPIT,2021-08-02 06:00:00,20.7,110.4,0,15.0,997.0, , , , ,40.0, 
2021214N21110,LUPIT,2021-08-02 09:00:00,20.8,111.1,68,18.0,997.0, , , , ,30.0, 
2021214N21110,LUPIT,2021-08-02 12:00:00,20.9,111.8,70,20.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-02 15:00:00,21.0,112.2,78,23.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-02 18:00:00,21.1,112.6,73,25.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-02 21:00:00,21.2,113.0,78,25.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 00:00:00,21.4,113.3,63,25.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 03:00:00,21.5,113.5,68,28.0,996.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 06:00:00,21.5,113.6,73,30.0,995.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 09:00:00,21.4,113.9,98,33.0,993.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 12:00:00,21.2,114.1,124,35.0,990.0, , , , ,20.0,1
2021214N21110,LUPIT,2021-08-03 15:00:00,21.1,114.4,134,35.0,993.0, , , , ,25.0,1
2021214N21110,LUPIT,2021-08-03 18:00:00,21.0,114.7,151,35.0,995.0, , , , ,30.0,1
2021214N21110,LUPIT,2021-08-03 21:00:00,21.1,115.1,157,38.0,994.0, , , , ,30.0,1
2021214N21110,LUPIT,2021-08-04 00:00:00,21.2,115.5,157,40.0,993.0, , , , ,30.0,2
2021214N21110,LUPIT,2021-08-04 03:00:00,21.3,115.6,152,38.0,994.0, , , , ,38.0,2
2021214N21110,LUPIT,2021-08-04 06:00:00,21.5,115.8,134,35.0,995.0, , , , ,45.0,2
2021214N21110,LUPIT,2021-08-04 09:00:00,21.5,116.0,135,38.0,993.0, , , , ,45.0,2
2021214N21110,LUPIT,2021-08-04 12:00:00,21.7,116.3,123,40.0,991.0, , , , ,45.0,2
2021214N21110,LUPIT,2021-08-04 15:00:00,22.1,116.6,90,43.0,988.0, , , , ,40.0,2
2021214N21110,LUPIT,2021-08-04 18:00:00,22.4,116.8,63,45.0,985.0, , , , ,35.0,2
2021214N21110,LUPIT,2021-08-04 21:00:00,22.8,116.9,42,45.0,986.0, , , , ,33.0,2
2021214N21110,LUPIT,2021-08-05 00:00:00,23.1,116.9,24,45.0,987.0, , , , ,30.0,2
2021214N21110,LUPIT,2021-08-05 03:00:00,23.3,116.9,10,45.0,987.0, , , , ,28.0,2
2021214N21110,LUPIT,2021-08-05 06:00:00,23.5,117.0,10,45.0,986.0, , , , ,25.0,2
2021214N21110,LUPIT,2021-08-05 09:00:00,23.7,117.1,0,43.0,987.0, , , , ,23.0,2
2021214N21110,LUPIT,2021-08-05 12:00:00,23.9,117.3,0,40.0,988.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-05 15:00:00,24.0,117.4,0,38.0,988.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-05 18:00:00,24.1,117.5,0,35.0,988.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-05 21:00:00,24.3,117.8,0,35.0,988.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-06 00:00:00,24.4,118.2,11,35.0,988.0,30,30,20,10,20.0,2
2021214N21110,LUPIT,2021-08-06 03:00:00,24.5,118.5,10,35.0,989.0,35,35,20,10,20.0,2
2021214N21110,LUPIT,2021-08-06 06:00:00,24.7,118.8,10,35.0,990.0,40,40,20,10,20.0,2
2021214N21110,LUPIT,2021-08-06 09:00:00,24.9,119.2,22,33.0,989.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-06 12:00:00,25.0,119.4,23,30.0,987.0, , , , ,20.0,2
2021214N21110,LUPIT,2021-08-06 15:00:00,25.0,119.7,34,33.0,989.0, , , , ,25.0,2
2021214N21110,LUPIT,2021-08-06 18:00:00,25.0,119.9,45,35.0,991.0,40,40,20,10,30.0,2
2021214N21110,LUPIT,2021-08-06 21:00:00,25.0,120.2,67,38.0,988.0,50,60,20,15,30.0,2
2021214N21110,LUPIT,2021-08-07 00:00:00,25.0,120.6,40,40.0,985.0,60,80,20,20,30.0,2
2021214N21110,LUPIT,2021-08-07 03:00:00,25.2,121.5,0,40.0,987.0, , , , ,38.0,2
2021214N21110,LUPIT,2021-08-07 06:00:00,25.6,122.7,97,40.0,988.0, , , , ,45.0,2
2021214N21110,LUPIT,2021-08-08 09:00:00,30.7,129.4,94,38.0,987.0,153,205,98,68,48.0,2
2021214N21110,LUPIT,2021-08-08 11:00:00,31.2,130.3,9,39.0,986.0,164,215,119,83,49.0,2
2021214N21110,LUPIT,2021-08-08 12:00:00,31.5,130.8,0,40.0,985.0,170,220,130,90,50.0,2
2021214N21110,LUPIT,2021-08-08 15:00:00,32.6,131.7,0,38.0,988.0,165,220,138,105,43.0,2
2021214N21110,LUPIT,2021-08-08 18:00:00,33.8,132.3,18,35.0,991.0,160,220,145,120,35.0,2
2021214N21110,LUPIT,2021-08-08 20:00:00,34.3,132.6,0,37.0,988.0,158,220,150,130,33.0,2
2021214N21110,LUPIT,2021-08-08 21:00:00,34.6,132.8,0,38.0,987.0,158,220,153,135,33.0,2
2021214N21110,LUPIT,2021-08-09 00:00:00,35.3,133.5,0,40.0,983.0,155,220,160,150,30.0,9
2021214N21110,LUPIT,2021-08-09 03:00:00,35.9,134.3,34,40.0,984.0,153,185,150,148,30.0,9
2021214N21110,LUPIT,2021-08-09 06:00:00,36.6,135.0,100,40.0,985.0,150,150,140,145,30.0,9
2021214N21110,LUPIT,2021-08-09 09:00:00,37.2,135.6,97,38.0,987.0,145,115,130,143,30.0,9
2021214N21110,LUPIT,2021-08-09 12:00:00,37.8,136.2,69,35.0,989.0,140,80,120,140,30.0,9
2021214N21110,LUPIT,2021-08-09 15:00:00,38.4,137.0,111,38.0,983.0, , , , ,35.0,9
2021214N21110,LUPIT,2021-08-09 18:00:00,38.9,138.0,133,40.0,976.0, , , , ,40.0,9
2021214N21110,LUPIT,2021-08-09 21:00:00,39.3,139.4,48,38.0,979.0, , , , ,40.0,9
2021214N21110,LUPIT,2021-08-10 00:00:00,39.6,140.9,0,35.0,981.0,230,270,155,230,40.0,9
2021214N21110,LUPIT,2021-08-10 03:00:00,40.1,142.2,27,38.0,980.0,225,210,153,215,40.0,9
2021214N21110,LUPIT,2021-08-10 06:00:00,40.5,143.4,136,40.0,979.0,220,150,150,200,40.0,9
