SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2021248N12141,CHANTHU,2021-09-10 00:00:00,17.1,124.1,170,135.0,928.0,80,75,65,75,5.0,6
2021248N12141,CHANTHU,2021-09-10 03:00:00,17.4,123.7,135,140.0,922.0,85,78,68,78,5.0,6
2021248N12141,CHANTHU,2021-09-10 06:00:00,17.8,123.5,129,145.0,916.0,90,80,70,80,5.0,6
2021248N12141,CHANTHU,2021-09-10 09:00:00,18.3,123.2,95,148.0,914.0,93,85,75,85,5.0,6
2021248N12141,CHANTHU,2021-09-10 12:00:00,18.7,122.9,71,150.0,911.0,95,90,80,90,5.0,6
2021248N12141,CHANTHU,2021-09-10 15:00:00,19.1,122.5,81,153.0,907.0,103,95,83,95,9.0,6
2021248N12141,CHANTHU,2021-09-10 18:00:00,19.5,122.3,123,155.0,902.0,110,100,85,100,12.0,6
2021248N12141,CHANTHU,2021-09-10 21:00:00,19.9,122.1,167,150.0,909.0,118,105,88,100,12.0,6
2021248N12141,CHANTHU,2021-09-11 03:00:00,20.7,121.7,157,138.0,920.0,133,115,93,103,9.0,6
2021248N12141,CHANTHU,2021-09-11 06:00:00,21.0,121.5,118,130.0,925.0,140,120,95,105,5.0,6
2021248N12141,CHANTHU,2021-09-11 09:00:00,21.4,121.6,91,120.0,935.0,143,123,98,90,5.0,6
2021248N12141,CHANTHU,2021-09-11 12:00:00,21.8,121.8,93,110.0,945.0,145,125,100,75,5.0,6
2021248N12141,CHANTHU,2021-09-11 15:00:00,22.3,121.9,98,110.0,945.0,143,125,90,75,5.0,6
2021248N12141,CHANTHU,2021-09-11 18:00:00,22.8,122.0,69,110.0,944.0,140,125,80,75,5.0,6
2021248N12141,CHANTHU,2021-09-11 21:00:00,23.3,122.2,81,108.0,946.0,138,125,70,68,6.0,6
2021248N12141,CHANTHU,2021-09-12 00:00:00,23.8,122.3,78,105.0,948.0,135,125,60,60,7.0,6
2021248N12141,CHANTHU,2021-09-12 03:00:00,24.6,122.4,51,105.0,946.0,133,135,63,70,6.0,6
2021248N12141,CHANTHU,2021-09-12 06:00:00,25.2,122.3,37,105.0,943.0,130,145,65,80,5.0,5
2021248N12141,CHANTHU,2021-09-12 09:00:00,25.8,122.4,97,100.0,946.0,128,155,68,90,5.0,5
2021248N12141,CHANTHU,2021-09-12 12:00:00,26.3,122.7,161,95.0,949.0,125,165,70,100,5.0,5
2021248N12141,CHANTHU,2021-09-12 18:00:00,27.6,123.1,166,90.0,953.0,160,155,90,140,5.0,5
2021248N12141,CHANTHU,2021-09-12 21:00:00,28.3,123.3,161,88.0,956.0,173,150,108,163,5.0,5
2021248N12141,CHANTHU,2021-09-13 00:00:00,29.1,123.6,155,85.0,959.0,185,145,125,185,5.0,5
2021248N12141,CHANTHU,2021-09-13 03:00:00,30.0,123.5,155,80.0,964.0,175,143,125,178,8.0,5
2021248N12141,CHANTHU,2021-09-13 06:00:00,30.7,123.4,144,75.0,968.0,165,140,125,170,10.0,5
2021248N12141,CHANTHU,2021-09-13 09:00:00,30.9,123.3,133,70.0,972.0,160,138,125,165,13.0,5
2021248N12141,CHANTHU,2021-09-13 12:00:00,31.0,123.3,133,65.0,975.0,155,135,125,160,15.0,5
2021248N12141,CHANTHU,2021-09-13 15:00:00,31.2,123.4,146,60.0,978.0,150,133,123,155,18.0,5
2021248N12141,CHANTHU,2021-09-13 18:00:00,31.4,123.5,155,55.0,980.0,145,130,120,150,20.0,4
2021248N12141,CHANTHU,2021-09-13 21:00:00,31.4,123.7,173,48.0,985.0,140,125,120,143,25.0,4
2021248N12141,CHANTHU,2021-09-14 00:00:00,31.3,123.8,185,40.0,990.0,135,120,120,135,30.0,3
2021248N12141,CHANTHU,2021-09-16 12:00:00,31.6,125.8,184,50.0,986.0,100,100,100,100,25.0,3
2021248N12141,CHANTHU,2021-09-16 15:00:00,31.9,126.1,146,48.0,988.0,108,108,100,98,25.0,3
2021248N12141,CHANTHU,2021-09-16 18:00:00,32.3,126.4,100,45.0,989.0,115,115,100,95,25.0,3
2021248N12141,CHANTHU,2021-09-16 21:00:00,32.6,126.9,72,43.0,992.0,108,118,98,90,25.0,3
2021248N12141,CHANTHU,2021-09-17 00:00:00,32.9,127.5,78,40.0,994.0,100,120,95,85,25.0,2
2021248N12141,CHANTHU,2021-09-17 03:00:00,33.2,128.3,120,40.0,994.0,88,105,83,70,25.0,2
2021248N12141,CHANTHU,2021-09-17 06:00:00,33.5,129.2,43,40.0,993.0,75,90,70,55,25.0,2
2021248N12141,CHANTHU,2021-09-17 09:00:00,33.7,130.3,9,38.0,996.0,63,75,60,48,23.0,2
2021248N12141,CHANTHU,2021-09-17 12:00:00,33.8,131.6,22,35.0,999.0,50,60,50,40,20.0,2
2021248N12141,CHANTHU,2021-09-17 15:00:00,33.8,132.8,0,33.0,1000.0, , , , ,20.0,2
2021248N12141,CHANTHU,2021-09-17 18:00:00,33.9,134.1,0,30.0,1000.0, , , , ,20.0,2
2021248N12141,CHANTHU,2021-09-17 21:00:00,34.1,135.3,0,28.0,1001.0, , , , ,20.0,2
