SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2023201N13134,DOKSURI,2023-07-25 06:00:00,18.3,123.7,147,120.0,934.0,200,165,130,170,20.0,6
2023201N13134,DOKSURI,2023-07-25 09:00:00,18.6,123.3,107,120.0,935.0,190,150,110,170,19.0,6
2023201N13134,DOKSURI,2023-07-25 12:00:00,18.9,122.7,70,120.0,936.0,180,135,90,170,17.0,6
2023201N13134,DOKSURI,2023-07-25 15:00:00,19.0,122.1,67,120.0,937.0,180,148,100,170,17.0,6
2023201N13134,DOKSURI,2023-07-25 18:00:00,19.0,121.6,59,120.0,937.0,180,160,110,170,17.0,6
2023201N13134,DOKSURI,2023-07-25 21:00:00,18.9,121.4,44,113.0,943.0,178,173,123,168,16.0,6
2023201N13134,DOKSURI,2023-07-26 00:00:00,18.9,121.4,44,105.0,949.0,175,185,135,165,15.0,6
2023201N13134,DOKSURI,2023-07-26 03:00:00,19.1,121.2,64,103.0,951.0,173,175,138,165,15.0,6
2023201N13134,DOKSURI,2023-07-26 06:00:00,19.3,121.0,79,100.0,952.0,170,165,140,165,15.0,5
2023201N13134,DOKSURI,2023-07-26 09:00:00,19.4,120.8,89,95.0,956.0,168,158,145,165,10.0,5
2023201N13134,DOKSURI,2023-07-26 12:00:00,19.6,120.6,113,90.0,959.0,165,150,150,165,5.0,5
2023201N13134,DOKSURI,2023-07-26 15:00:00,19.8,120.3,144,85.0,963.0,163,150,148,158,13.0,5
2023201N13134,DOKSURI,2023-07-26 18:00:00,20.0,120.0,177,80.0,966.0,160,150,145,150,20.0,5
2023201N13134,DOKSURI,2023-07-26 21:00:00,20.4,119.9,187,80.0,966.0,150,145,140,135,20.0,5
2023201N13134,DOKSURI,2023-07-27 00:00:00,20.7,119.7,169,80.0,966.0,140,140,140,110,35.0,5
2023201N13134,DOKSURI,2023-07-27 03:00:00,20.9,119.4,174,80.0,966.0,125,140,140,100,35.0,5
2023201N13134,DOKSURI,2023-07-27 06:00:00,21.1,119.3,170,80.0,964.0,115,130,130,100,15.0,5
2023201N13134,DOKSURI,2023-07-27 09:00:00,21.4,119.2,164,90.0,956.0,108,125,125,100,11.0,6
2023201N13134,DOKSURI,2023-07-27 12:00:00,21.8,119.1,146,100.0,947.0,100,120,120,100,7.0,6
2023201N13134,DOKSURI,2023-07-27 15:00:00,22.2,119.1,127,95.0,948.0,95,110,105,95,6.0,6
2023201N13134,DOKSURI,2023-07-27 18:00:00,22.8,119.0,117,90.0,949.0,90,100,90,90,5.0,6
2023201N13134,DOKSURI,2023-07-27 21:00:00,23.5,118.9,115,90.0,951.0,85,90,75,85,10.0,5
2023201N13134,DOKSURI,2023-07-28 00:00:00,24.2,118.8,39,90.0,952.0,80,80,60,80,15.0,5
2023201N13134,DOKSURI,2023-07-28 03:00:00,24.9,118.6,0,78.0,961.0,70,70,50,70,20.0,4
2023201N13134,DOKSURI,2023-07-28 06:00:00,25.5,118.3,0,65.0,970.0,60,60,40,60,25.0,3
2023201N13134,DOKSURI,2023-07-28 09:00:00,26.3,118.1,0,55.0,978.0,50,50,30,50,33.0,3
2023201N13134,DOKSURI,2023-07-28 12:00:00,27.1,117.7,0,45.0,985.0,40,40,20,40,40.0,2
2023201N13134,DOKSURI,2023-07-28 15:00:00,28.0,117.4,0,40.0,988.0,30,30,15,30,38.0,2
2023201N13134,DOKSURI,2023-07-28 18:00:00,28.7,117.1,0,35.0,990.0,20,20,10,20,35.0,2
2023201N13134,DOKSURI,2023-07-28 21:00:00,29.6,116.5,0,28.0,986.0, , , , ,35.0,1
2023201N13134,DOKSURI,2023-07-29 00:00:00,30.3,115.8,0,20.0,982.0, , , , ,35.0,1
