SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2023271N14144,KOINU,2023-10-04 06:00:00,22.1,122.7,174,115.0,940.0,120,135,125,140,20.0,6
2023271N14144,KOINU,2023-10-04 09:00:00,22.1,122.3,143,118.0,938.0,123,133,128,150,16.0,6
2023271N14144,KOINU,2023-10-04 12:00:00,22.0,122.0,113,120.0,936.0,125,130,130,160,12.0,6
2023271N14144,KOINU,2023-10-04 15:00:00,22.0,121.6,72,120.0,936.0,128,130,133,170,14.0,6
2023271N14144,KOINU,2023-10-04 18:00:00,21.9,121.3,41,120.0,936.0,130,130,135,180,15.0,6
2023271N14144,KOINU,2023-10-04 21:00:00,21.9,121.1,20,115.0,942.0,133,133,138,190,14.0,6
2023271N14144,KOINU,2023-10-05 00:00:00,22.0,120.8,0,110.0,947.0,135,135,140,200,12.0,5
2023271N14144,KOINU,2023-10-05 03:00:00,22.0,120.4,30,100.0,954.0,138,125,130,188,14.0,5
2023271N14144,KOINU,2023-10-05 06:00:00,22.1,120.0,54,90.0,961.0,140,115,120,175,15.0,4
2023271N14144,KOINU,2023-10-05 09:00:00,22.1,119.5,93,85.0,966.0,145,103,105,163,15.0,4
2023271N14144,KOINU,2023-10-05 12:00:00,22.0,119.1,135,80.0,971.0,150,90,90,150,15.0,4
2023271N14144,KOINU,2023-10-05 15:00:00,22.0,118.7,173,75.0,975.0,150,88,90,145,15.0,4
2023271N14144,KOINU,2023-10-05 21:00:00,21.9,118.0,190,80.0,972.0,150,83,90,135,10.0,4
2023271N14144,KOINU,2023-10-06 00:00:00,21.8,117.7,174,90.0,965.0,150,80,90,130,5.0,4
2023271N14144,KOINU,2023-10-06 03:00:00,21.7,117.3,157,95.0,961.0,150,78,93,125,5.0,4
2023271N14144,KOINU,2023-10-06 06:00:00,21.7,116.9,140,100.0,956.0,150,75,95,120,5.0,5
2023271N14144,KOINU,2023-10-06 09:00:00,21.6,116.6,143,100.0,957.0,150,75,95,118,5.0,5
2023271N14144,KOINU,2023-10-06 12:00:00,21.4,116.3,154,100.0,957.0,150,75,95,115,5.0,5
2023271N14144,KOINU,2023-10-06 15:00:00,21.3,116.0,157,103.0,955.0,125,68,83,103,5.0,5
2023271N14144,KOINU,2023-10-06 18:00:00,21.2,115.7,167,105.0,953.0,100,60,70,90,5.0,5
2023271N14144,KOINU,2023-10-06 21:00:00,21.1,115.6,172,103.0,956.0,83,55,60,80,5.0,5
2023271N14144,KOINU,2023-10-07 00:00:00,21.1,115.4,164,100.0,958.0,65,50,50,70,5.0,5
2023271N14144,KOINU,2023-10-07 03:00:00,21.1,115.3,161,103.0,956.0,65,50,48,70,5.0,5
2023271N14144,KOINU,2023-10-07 06:00:00,21.2,115.2,148,105.0,953.0,65,50,45,70,5.0,5
2023271N14144,KOINU,2023-10-07 09:00:00,21.2,115.2,148,103.0,955.0,68,50,43,70,5.0,5
2023271N14144,KOINU,2023-10-07 12:00:00,21.3,115.1,135,100.0,957.0,70,50,40,70,5.0,5
2023271N14144,KOINU,2023-10-07 15:00:00,21.3,115.0,133,93.0,963.0,73,50,45,70,5.0,5
2023271N14144,KOINU,2023-10-07 18:00:00,21.4,114.9,118,85.0,968.0,75,50,50,70,5.0,4
2023271N14144,KOINU,2023-10-07 21:00:00,21.4,114.8,113,80.0,973.0,78,50,55,70,10.0,4
2023271N14144,KOINU,2023-10-08 00:00:00,21.5,114.6,94,75.0,977.0,80,50,60,70,15.0,4
2023271N14144,KOINU,2023-10-08 01:00:00,21.5,114.6,94,76.0,976.0,78,48,57,70,15.0,4
2023271N14144,KOINU,2023-10-08 02:00:00,21.5,114.5,91,77.0,976.0,77,47,53,70,15.0,4
2023271N14144,KOINU,2023-10-08 03:00:00,21.5,114.5,91,78.0,975.0,75,45,50,70,15.0,4
