SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2024201N12133,GAEMI,2024-07-24 00:00:00,23.5,123.3,180,119.0,935.0,231,213,195,152,10.0,6
2024201N12133,GAEMI,2024-07-24 03:00:00,23.9,122.9,121,122.0,927.0,218,200,185,157,7.0,6
2024201N12133,GAEMI,2024-07-24 06:00:00,24.2,122.5,69,124.0,919.0,204,187,174,161,4.0,6
2024201N12133,GAEMI,2024-07-24 09:00:00,24.0,122.0,42,117.0,924.0,222,202,183,166,4.0,6
2024201N12133,GAEMI,2024-07-24 12:00:00,23.6,121.7,23,109.0,928.0,239,217,191,170,4.0,5
2024201N12133,GAEMI,2024-07-24 15:00:00,24.1,121.7,10,101.0,937.0,215,189,178,159,7.0,5
2024201N12133,GAEMI,2024-07-24 18:00:00,24.7,121.4,0,93.0,945.0,191,161,165,148,9.0,5
2024201N12133,GAEMI,2024-07-24 21:00:00,25.0,120.8,20,84.0,953.0,183,155,165,140,9.0,5
2024201N12133,GAEMI,2024-07-25 00:00:00,25.1,120.2,60,74.0,961.0,174,148,165,131,9.0,4
2024201N12133,GAEMI,2024-07-25 03:00:00,25.1,120.0,45,67.0,963.0,183,148,165,101,9.0,4
2024201N12133,GAEMI,2024-07-25 06:00:00,25.2,119.8,22,60.0,964.0,191,148,165,70,9.0,4
2024201N12133,GAEMI,2024-07-25 09:00:00,25.3,119.6,0,56.0,969.0,178,148,165,61,13.0,4
2024201N12133,GAEMI,2024-07-25 12:00:00,25.4,119.3,15,51.0,973.0,165,148,165,52,17.0,4
2024201N12133,GAEMI,2024-07-25 15:00:00,25.4,119.0,0,48.0,976.0,165,148,165,52,17.0,3
2024201N12133,GAEMI,2024-07-25 18:00:00,25.6,118.8,0,45.0,978.0,165,148,165,52,17.0,3
