SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2024298N13150,KONG-REY,2024-10-30 21:00:00,21.5,122.5,171,117.0,936.0,174,165,165,195,22.0,6
2024298N13150,KONG-REY,2024-10-31 00:00:00,21.9,122.2,134,115.0,938.0,174,165,165,195,22.0,6
2024298N13150,KONG-REY,2024-10-31 03:00:00,22.5,121.8,75,107.0,943.0,179,168,163,206,22.0,6
2024298N13150,KONG-REY,2024-10-31 06:00:00,23.1,121.3,0,99.0,947.0,183,170,161,217,22.0,5
2024298N13150,KONG-REY,2024-10-31 09:00:00,23.6,120.6,0,96.0,951.0,189,177,159,211,22.0,5
2024298N13150,KONG-REY,2024-10-31 12:00:00,24.1,120.2,15,93.0,954.0,195,183,156,204,22.0,4
2024298N13150,KONG-REY,2024-10-31 15:00:00,24.5,120.0,60,77.0,967.0,163,168,124,137,50.0,4
2024298N13150,KONG-REY,2024-10-31 18:00:00,25.1,120.1,52,60.0,980.0,131,152,91,70,78.0,3
2024298N13150,KONG-REY,2024-10-31 21:00:00,25.8,120.3,61,57.0,982.0,131,150,91,70,59.0,3
2024298N13150,KONG-REY,2024-11-01 00:00:00,26.6,120.6,49,54.0,983.0,131,148,91,70,39.0,3
2024298N13150,KONG-REY,2024-11-01 03:00:00,27.4,121.0,31,53.0,987.0,144,152,87,68,39.0,3
2024298N13150,KONG-REY,2024-11-01 06:00:00,28.3,121.6,0,51.0,990.0,156,156,83,65,39.0,2
2024298N13150,KONG-REY,2024-11-01 09:00:00,29.3,122.3,31,48.0,990.0,195,167,64,89,39.0,2
2024298N13150,KONG-REY,2024-11-01 12:00:00,30.3,123.3,145,45.0,990.0,234,178,44,113,39.0,2
2024298N13150,KONG-REY,2024-11-01 18:00:00,31.8,126.0,158,45.0,998.0,217,174,44,113,39.0,2
