SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2024314N07151,USAGI,2024-11-13 18:00:00,16.7,124.0,161,128.0,915.0,65,57,57,61,5.0,6
2024314N07151,USAGI,2024-11-13 21:00:00,16.9,123.5,106,128.0,915.0,65,57,57,61,5.0,6
2024314N07151,USAGI,2024-11-14 00:00:00,17.2,123.1,67,128.0,915.0,65,57,57,61,5.0,6
2024314N07151,USAGI,2024-11-14 03:00:00,17.5,122.6,30,122.0,932.0,72,61,61,63,5.0,6
2024314N07151,USAGI,2024-11-14 06:00:00,17.9,122.1,0,115.0,949.0,78,65,65,65,4.0,6
2024314N07151,USAGI,2024-11-14 09:00:00,18.3,121.8,0,104.0,958.0,83,76,52,65,7.0,6
2024314N07151,USAGI,2024-11-14 12:00:00,18.8,121.6,39,93.0,966.0,87,87,39,65,9.0,5
2024314N07151,USAGI,2024-11-14 15:00:00,19.2,121.1,70,79.0,976.0,81,61,28,63,9.0,5
2024314N07151,USAGI,2024-11-14 18:00:00,19.6,120.6,113,64.0,985.0,74,35,17,61,9.0,4
2024314N07151,USAGI,2024-11-14 21:00:00,20.0,120.4,162,67.0,981.0,74,35,17,61,9.0,4
2024314N07151,USAGI,2024-11-15 00:00:00,20.3,120.2,186,70.0,977.0,74,35,17,61,9.0,4
2024314N07151,USAGI,2024-11-15 03:00:00,20.7,119.9,157,62.0,984.0,76,55,33,63,13.0,4
2024314N07151,USAGI,2024-11-15 06:00:00,21.1,119.7,136,54.0,991.0,78,74,48,65,17.0,3
2024314N07151,USAGI,2024-11-15 09:00:00,21.3,119.7,123,53.0,992.0,76,72,50,63,17.0,3
2024314N07151,USAGI,2024-11-15 12:00:00,21.5,119.8,103,51.0,993.0,74,70,52,61,17.0,3
2024314N07151,USAGI,2024-11-15 15:00:00,21.9,119.9,78,43.0,996.0,72,64,48,61,20.0,3
2024314N07151,USAGI,2024-11-15 18:00:00,22.2,120.0,45,35.0,998.0,70,57,44,61,22.0,2
2024314N07151,USAGI,2024-11-15 21:00:00,22.4,120.2,15,32.0,1000.0, , , , ,22.0,2
2024314N07151,USAGI,2024-11-16 00:00:00,22.4,120.3,11,29.0,1002.0, , , , ,22.0,2
2024314N07151,USAGI,2024-11-16 03:00:00,22.4,120.5,0,27.0,1004.0, , , , ,22.0,2
2024314N07151,USAGI,2024-11-16 06:00:00,22.2,120.6,10,25.0,1006.0, , , , ,22.0,1
2024314N07151,USAGI,2024-11-16 09:00:00,22.2,120.5,15,25.0,1006.0, , , , ,22.0,1
2024314N07151,USAGI,2024-11-16 12:00:00,22.1,120.3,38,25.0,1006.0, , , , ,22.0,1
