SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2004174N14146,MINDULLE,2004-06-29 00:00:00,18.8,124.1,194,125.0,916.0,185.0,185.0,155.0,185.0,,5
2004174N14146,MINDULLE,2004-06-29 03:00:00,18.8,123.8,164,125.0,916.0,170.0,183.0,158.0,170.0,,5
2004174N14146,MINDULLE,2004-06-29 06:00:00,18.9,123.6,147,125.0,916.0,155.0,180.0,160.0,155.0,15.0,5
2004174N14146,MINDULLE,2004-06-29 09:00:00,18.9,123.3,119,125.0,916.0,155.0,180.0,160.0,155.0,,5
2004174N14146,MINDULLE,2004-06-29 12:00:00,18.9,123.0,92,125.0,916.0,155.0,180.0,160.0,155.0,,5
2004174N14146,MINDULLE,2004-06-29 15:00:00,18.9,122.8,76,125.0,916.0,155.0,163.0,145.0,155.0,,5
2004174N14146,MINDULLE,2004-06-29 18:00:00,19.0,122.7,79,125.0,916.0,155.0,145.0,130.0,155.0,,4
2004174N14146,MINDULLE,2004-06-29 21:00:00,19.0,122.5,70,118.0,925.0,150.0,145.0,125.0,143.0,,4
2004174N14146,MINDULLE,2004-06-30 00:00:00,19.1,122.3,78,110.0,933.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 03:00:00,19.2,122.1,89,108.0,936.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 06:00:00,19.3,122.0,101,105.0,938.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 09:00:00,19.4,121.9,113,98.0,946.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 12:00:00,19.7,122.0,145,90.0,954.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 15:00:00,20.2,121.9,197,85.0,959.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 18:00:00,20.7,121.9,169,80.0,963.0,145.0,145.0,120.0,130.0,,4
2004174N14146,MINDULLE,2004-06-30 21:00:00,21.2,121.9,129,78.0,965.0,145.0,145.0,115.0,138.0,,4
2004174N14146,MINDULLE,2004-07-01 00:00:00,21.6,121.8,98,75.0,967.0,145.0,145.0,110.0,145.0,,3
2004174N14146,MINDULLE,2004-07-01 03:00:00,22.0,121.7,82,70.0,972.0,135.0,133.0,105.0,135.0,,3
2004174N14146,MINDULLE,2004-07-01 06:00:00,22.3,121.6,70,65.0,976.0,125.0,120.0,100.0,125.0,,3
2004174N14146,MINDULLE,2004-07-01 09:00:00,22.8,121.6,37,65.0,976.0,125.0,120.0,100.0,125.0,,3
2004174N14146,MINDULLE,2004-07-01 12:00:00,23.3,121.6,20,65.0,976.0,125.0,120.0,100.0,125.0,,3
2004174N14146,MINDULLE,2004-07-01 15:00:00,23.7,121.4,0,60.0,980.0,113.0,120.0,100.0,123.0,,3
2004174N14146,MINDULLE,2004-07-01 18:00:00,24.0,121.3,0,55.0,984.0,100.0,120.0,100.0,120.0,,3
2004174N14146,MINDULLE,2004-07-01 21:00:00,24.4,121.2,0,50.0,988.0,90.0,110.0,90.0,93.0,,3
2004174N14146,MINDULLE,2004-07-02 00:00:00,24.8,121.2,0,45.0,991.0,80.0,100.0,80.0,65.0,,3
2004174N14146,MINDULLE,2004-07-02 03:00:00,25.1,121.1,10,45.0,991.0,80.0,80.0,60.0,73.0,,3
2004174N14146,MINDULLE,2004-07-02 06:00:00,25.4,121.0,39,45.0,991.0,80.0,60.0,40.0,80.0,,3
2004174N14146,MINDULLE,2004-07-02 09:00:00,25.8,121.0,78,43.0,993.0,80.0,60.0,40.0,80.0,,3
2004174N14146,MINDULLE,2004-07-02 12:00:00,26.2,121.0,100,40.0,994.0,80.0,60.0,40.0,80.0,,3
2004174N14146,MINDULLE,2004-07-02 15:00:00,26.5,121.0,89,40.0,994.0,80.0,60.0,40.0,80.0,,3
2004174N14146,MINDULLE,2004-07-02 18:00:00,26.9,121.0,59,40.0,994.0,80.0,60.0,40.0,80.0,,3
2004174N14146,MINDULLE,2004-07-02 21:00:00,27.3,121.1,45,38.0,996.0,78.0,58.0,40.0,78.0,,3
2004174N14146,MINDULLE,2004-07-03 00:00:00,27.8,121.2,29,35.0,997.0,75.0,55.0,40.0,75.0,,3
2004174N14146,MINDULLE,2004-07-03 03:00:00,28.4,121.5,0,35.0,997.0,75.0,55.0,40.0,75.0,,3
2004174N14146,MINDULLE,2004-07-03 06:00:00,29.1,121.9,11,35.0,997.0,75.0,55.0,40.0,75.0,,2
2004174N14146,MINDULLE,2004-07-03 09:00:00,29.8,122.2,28,35.0,997.0,75.0,55.0,40.0,75.0,,2
2004174N14146,MINDULLE,2004-07-03 12:00:00,30.5,122.6,80,35.0,997.0,75.0,55.0,40.0,75.0,,2
