SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2007257N16134,WIPHA,2007-09-17 23:00:00,24.3,123.8,193,133.0,923.0,160.0,140.0,130.0,130.0,21.0,6
2007257N16134,WIPHA,2007-09-18 00:00:00,24.4,123.7,182,135.0,922.0,160.0,140.0,130.0,130.0,20.0,6
2007257N16134,WIPHA,2007-09-18 03:00:00,25.0,123.1,110,133.0,924.0,160.0,140.0,130.0,130.0,18.0,6
2007257N16134,WIPHA,2007-09-18 06:00:00,25.6,122.6,90,130.0,926.0,160.0,140.0,130.0,130.0,15.0,6
2007257N16134,WIPHA,2007-09-18 09:00:00,25.9,122.0,87,125.0,930.0,158.0,138.0,130.0,130.0,13.0,6
2007257N16134,WIPHA,2007-09-18 12:00:00,26.2,121.5,111,120.0,933.0,155.0,135.0,130.0,130.0,10.0,5
2007257N16134,WIPHA,2007-09-18 15:00:00,26.6,121.1,89,113.0,939.0,148.0,130.0,125.0,130.0,13.0,5
2007257N16134,WIPHA,2007-09-18 18:00:00,27.1,120.7,22,105.0,944.0,140.0,125.0,120.0,130.0,15.0,5
2007257N16134,WIPHA,2007-09-18 21:00:00,27.4,120.2,0,90.0,956.0,140.0,125.0,120.0,130.0,15.0,5
2007257N16134,WIPHA,2007-09-19 00:00:00,27.8,119.7,0,75.0,967.0,140.0,125.0,120.0,130.0,15.0,3
2007257N16134,WIPHA,2007-09-19 03:00:00,28.4,119.3,0,63.0,976.0,110.0,100.0,93.0,100.0,23.0,3
2007257N16134,WIPHA,2007-09-19 06:00:00,29.2,119.1,0,50.0,985.0,80.0,75.0,65.0,70.0,30.0,2
2007257N16134,WIPHA,2007-09-19 09:00:00,29.8,119.0,0,43.0,991.0,60.0,55.0,50.0,55.0,,2
2007257N16134,WIPHA,2007-09-19 12:00:00,30.5,119.0,0,35.0,996.0,40.0,35.0,35.0,40.0,,2
2007257N16134,WIPHA,2007-09-19 15:00:00,31.3,119.0,0,35.0,996.0,40.0,35.0,35.0,40.0,,2
2007257N16134,WIPHA,2007-09-19 18:00:00,32.4,119.3,0,35.0,996.0,40.0,35.0,35.0,40.0,30.0,2
2007257N16134,WIPHA,2007-09-19 21:00:00,33.8,119.8,0,35.0,996.0,40.0,35.0,35.0,40.0,,2
2007257N16134,WIPHA,2007-09-20 00:00:00,35.1,120.5,77,35.0,996.0,40.0,35.0,35.0,40.0,,9
