SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2007274N18131,KROSA,2007-10-06 00:00:00,23.7,123.5,185,125.0,929.0,200.0,190.0,180.0,190.0,15.0,6
2007274N18131,KROSA,2007-10-06 03:00:00,24.2,122.9,106,125.0,929.0,213.0,195.0,180.0,195.0,15.0,6
2007274N18131,KROSA,2007-10-06 06:00:00,24.5,122.2,30,125.0,929.0,225.0,200.0,180.0,200.0,15.0,6
2007274N18131,KROSA,2007-10-06 09:00:00,24.3,122.0,23,120.0,933.0,225.0,200.0,180.0,200.0,18.0,6
2007274N18131,KROSA,2007-10-06 12:00:00,24.3,121.9,15,115.0,937.0,225.0,200.0,180.0,200.0,20.0,5
2007274N18131,KROSA,2007-10-06 15:00:00,25.0,121.6,0,103.0,947.0,213.0,193.0,175.0,190.0,,5
2007274N18131,KROSA,2007-10-06 18:00:00,25.5,121.1,45,90.0,956.0,200.0,185.0,170.0,180.0,,4
2007274N18131,KROSA,2007-10-06 21:00:00,25.7,120.7,83,83.0,962.0,188.0,178.0,163.0,170.0,,4
2007274N18131,KROSA,2007-10-07 00:00:00,25.9,120.6,89,75.0,967.0,175.0,170.0,155.0,160.0,25.0,4
2007274N18131,KROSA,2007-10-07 03:00:00,26.3,120.6,59,63.0,976.0,175.0,165.0,160.0,130.0,25.0,4
2007274N18131,KROSA,2007-10-07 06:00:00,26.8,120.5,29,50.0,985.0,175.0,160.0,165.0,100.0,25.0,4
2007274N18131,KROSA,2007-10-07 09:00:00,27.2,120.4,0,48.0,987.0,165.0,150.0,143.0,90.0,28.0,4
2007274N18131,KROSA,2007-10-07 12:00:00,27.4,120.2,0,45.0,989.0,155.0,140.0,120.0,80.0,30.0,3
2007274N18131,KROSA,2007-10-07 15:00:00,27.5,120.1,0,45.0,989.0,128.0,115.0,103.0,78.0,33.0,3
2007274N18131,KROSA,2007-10-07 18:00:00,27.6,120.1,0,45.0,989.0,100.0,90.0,85.0,75.0,35.0,2
2007274N18131,KROSA,2007-10-07 21:00:00,27.7,120.1,0,43.0,991.0,85.0,78.0,70.0,65.0,35.0,2
2007274N18131,KROSA,2007-10-08 00:00:00,27.8,120.2,0,40.0,993.0,70.0,65.0,55.0,55.0,35.0,2
