SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2008193N20126,KALMAEGI,2008-07-15 18:00:00,18.3,123.6,137,40.0,993.0,45.0,55.0,45.0,50.0,30.0,2
2008193N20126,KALMAEGI,2008-07-15 21:00:00,18.5,123.7,148,45.0,989.0,43.0,43.0,38.0,45.0,30.0,2
2008193N20126,KALMAEGI,2008-07-16 00:00:00,18.8,123.8,164,50.0,985.0,40.0,30.0,30.0,40.0,30.0,2
2008193N20126,KALMAEGI,2008-07-16 03:00:00,19.0,123.8,171,53.0,984.0,43.0,33.0,33.0,43.0,25.0,2
2008193N20126,KALMAEGI,2008-07-16 06:00:00,19.3,123.8,187,55.0,982.0,45.0,35.0,35.0,45.0,20.0,3
2008193N20126,KALMAEGI,2008-07-17 00:00:00,22.5,122.9,167,80.0,963.0,80.0,75.0,65.0,70.0,20.0,4
2008193N20126,KALMAEGI,2008-07-17 03:00:00,22.8,122.7,137,85.0,960.0,83.0,80.0,70.0,75.0,18.0,4
2008193N20126,KALMAEGI,2008-07-17 06:00:00,23.2,122.5,112,90.0,956.0,85.0,85.0,75.0,80.0,15.0,4
2008193N20126,KALMAEGI,2008-07-17 09:00:00,23.7,122.3,81,90.0,956.0,85.0,85.0,75.0,80.0,15.0,4
2008193N20126,KALMAEGI,2008-07-17 12:00:00,24.1,122.0,37,90.0,956.0,85.0,85.0,75.0,80.0,15.0,4
2008193N20126,KALMAEGI,2008-07-17 15:00:00,24.4,121.7,0,90.0,956.0,85.0,85.0,75.0,80.0,18.0,4
2008193N20126,KALMAEGI,2008-07-17 18:00:00,24.7,121.5,0,75.0,967.0,75.0,70.0,65.0,70.0,20.0,3
2008193N20126,KALMAEGI,2008-07-17 21:00:00,25.0,121.3,0,65.0,975.0,80.0,73.0,70.0,75.0,20.0,3
2008193N20126,KALMAEGI,2008-07-18 00:00:00,25.3,121.2,22,55.0,982.0,85.0,75.0,75.0,80.0,20.0,3
2008193N20126,KALMAEGI,2008-07-18 03:00:00,25.7,120.9,73,53.0,984.0,73.0,68.0,63.0,63.0,25.0,3
2008193N20126,KALMAEGI,2008-07-18 06:00:00,26.2,120.5,59,50.0,985.0,60.0,60.0,50.0,45.0,30.0,3
2008193N20126,KALMAEGI,2008-07-18 09:00:00,26.5,120.1,11,50.0,985.0,60.0,60.0,50.0,45.0,35.0,3
2008193N20126,KALMAEGI,2008-07-18 12:00:00,26.7,119.9,0,50.0,985.0,60.0,60.0,50.0,45.0,40.0,2
2008193N20126,KALMAEGI,2008-07-18 15:00:00,26.9,119.7,0,48.0,987.0,60.0,60.0,50.0,45.0,,2
2008193N20126,KALMAEGI,2008-07-18 18:00:00,27.2,119.7,0,45.0,989.0,60.0,60.0,50.0,45.0,,2
2008193N20126,KALMAEGI,2008-07-18 21:00:00,27.8,119.9,0,38.0,995.0,30.0,30.0,25.0,22.0,,2
