SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2008252N16128,SINLAKU,2008-09-12 12:00:00,23.7,123.5,185,115.0,937.0,175.0,150.0,170.0,195.0,,5
2008252N16128,SINLAKU,2008-09-12 15:00:00,23.8,123.3,162,108.0,943.0,175.0,150.0,170.0,195.0,,5
2008252N16128,SINLAKU,2008-09-12 18:00:00,23.9,123.2,147,100.0,948.0,175.0,150.0,170.0,195.0,15.0,5
2008252N16128,SINLAKU,2008-09-12 21:00:00,24.0,123.0,124,100.0,948.0,175.0,153.0,155.0,175.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 00:00:00,24.1,122.8,101,100.0,948.0,175.0,155.0,140.0,155.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 03:00:00,24.2,122.6,78,100.0,948.0,175.0,155.0,140.0,155.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 06:00:00,24.3,122.5,64,100.0,948.0,175.0,155.0,140.0,155.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 09:00:00,24.4,122.5,61,100.0,948.0,175.0,155.0,140.0,155.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 12:00:00,24.5,122.4,50,100.0,948.0,175.0,155.0,140.0,155.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 15:00:00,24.6,122.1,23,95.0,952.0,168.0,155.0,158.0,165.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 18:00:00,24.7,121.9,10,90.0,956.0,160.0,155.0,175.0,175.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 20:00:00,24.6,121.8,0,90.0,956.0,160.0,155.0,175.0,175.0,15.0,5
2008252N16128,SINLAKU,2008-09-13 21:00:00,24.5,121.8,0,90.0,956.0,160.0,155.0,175.0,175.0,15.0,5
