SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2012230N21126,TEMBIN,2012-08-23 06:00:00,22.7,123.2,189,110.0,941.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-23 09:00:00,22.7,122.9,159,115.0,937.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-23 12:00:00,22.7,122.5,121,120.0,933.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-23 15:00:00,22.6,122.0,83,118.0,935.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-23 18:00:00,22.4,121.4,46,115.0,937.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-23 21:00:00,22.3,120.9,0,108.0,943.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-24 00:00:00,22.2,120.6,10,100.0,948.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-24 03:00:00,22.2,120.2,35,93.0,954.0,140.0,135.0,125.0,145.0,15.0,5
2012230N21126,TEMBIN,2012-08-24 06:00:00,22.3,119.9,46,85.0,959.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-24 09:00:00,22.4,119.7,62,83.0,961.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-24 12:00:00,22.4,119.5,82,80.0,963.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-24 15:00:00,22.4,119.2,111,78.0,965.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-24 18:00:00,22.5,118.9,137,75.0,967.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-24 21:00:00,22.5,118.6,167,75.0,967.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-25 00:00:00,22.5,118.4,157,75.0,967.0,140.0,135.0,125.0,145.0,15.0,4
2012230N21126,TEMBIN,2012-08-25 03:00:00,22.4,118.1,154,75.0,967.0,125.0,123.0,118.0,128.0,23.0,4
2012230N21126,TEMBIN,2012-08-25 06:00:00,22.3,117.8,149,75.0,967.0,110.0,110.0,110.0,110.0,30.0,4
2012230N21126,TEMBIN,2012-08-25 09:00:00,22.1,117.4,128,75.0,967.0,110.0,110.0,110.0,110.0,28.0,4
2012230N21126,TEMBIN,2012-08-25 12:00:00,21.9,117.1,127,75.0,967.0,110.0,110.0,110.0,110.0,25.0,4
2012230N21126,TEMBIN,2012-08-25 15:00:00,21.6,116.9,151,78.0,965.0,115.0,113.0,113.0,110.0,20.0,4
2012230N21126,TEMBIN,2012-08-25 18:00:00,21.4,116.8,170,80.0,963.0,120.0,115.0,115.0,110.0,15.0,4
2012230N21126,TEMBIN,2012-08-25 21:00:00,21.2,116.7,189,83.0,961.0,130.0,123.0,123.0,123.0,15.0,4
2012230N21126,TEMBIN,2012-08-27 09:00:00,21.0,119.3,176,70.0,970.0,120.0,135.0,135.0,120.0,30.0,4
2012230N21126,TEMBIN,2012-08-27 12:00:00,21.3,119.9,106,70.0,970.0,120.0,135.0,135.0,120.0,30.0,4
2012230N21126,TEMBIN,2012-08-27 15:00:00,21.5,120.4,54,65.0,974.0,120.0,135.0,135.0,120.0,28.0,4
2012230N21126,TEMBIN,2012-08-27 18:00:00,21.8,120.9,11,60.0,978.0,120.0,135.0,135.0,120.0,25.0,4
2012230N21126,TEMBIN,2012-08-27 21:00:00,22.3,121.5,61,58.0,980.0,120.0,135.0,135.0,120.0,25.0,4
2012230N21126,TEMBIN,2012-08-28 00:00:00,22.8,122.0,69,55.0,982.0,120.0,135.0,135.0,120.0,25.0,4
2012230N21126,TEMBIN,2012-08-28 03:00:00,23.4,122.4,97,55.0,982.0,120.0,135.0,135.0,120.0,25.0,4
2012230N21126,TEMBIN,2012-08-28 06:00:00,24.0,122.9,115,55.0,982.0,120.0,135.0,135.0,120.0,25.0,4
2012230N21126,TEMBIN,2012-08-28 09:00:00,24.7,123.3,135,55.0,982.0,95.0,98.0,93.0,80.0,25.0,4
2012230N21126,TEMBIN,2012-08-28 12:00:00,25.2,123.6,162,55.0,982.0,70.0,60.0,50.0,40.0,25.0,3
2012230N21126,TEMBIN,2012-08-28 15:00:00,25.8,123.6,183,53.0,984.0,70.0,60.0,50.0,40.0,25.0,3
2012230N21126,TEMBIN,2012-08-29 18:00:00,32.2,125.1,158,50.0,985.0,65.0,55.0,45.0,60.0,30.0,3
2012230N21126,TEMBIN,2012-08-29 21:00:00,33.0,125.6,65,45.0,989.0,65.0,55.0,45.0,60.0,30.0,3
2012230N21126,TEMBIN,2012-08-30 00:00:00,33.9,126.3,44,40.0,993.0,65.0,55.0,45.0,60.0,30.0,3
2012230N21126,TEMBIN,2012-08-30 03:00:00,34.8,127.1,0,38.0,995.0,65.0,55.0,45.0,60.0,33.0,3
2012230N21126,TEMBIN,2012-08-30 06:00:00,35.7,127.8,0,35.0,996.0,65.0,55.0,45.0,60.0,35.0,2
