SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2013237N11129,KONG-REY,2013-08-27 00:00:00,18.5,123.9,169,40.0,993.0,25.0,25.0,25.0,25.0,40.0,2
2013237N11129,KONG-REY,2013-08-27 03:00:00,19.0,123.9,181,40.0,993.0,28.0,25.0,25.0,28.0,35.0,2
2013237N11129,KONG-REY,2013-08-28 03:00:00,21.4,122.7,194,48.0,987.0,45.0,40.0,40.0,40.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 06:00:00,21.8,122.7,186,50.0,985.0,45.0,40.0,40.0,40.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 09:00:00,22.2,122.7,167,50.0,985.0,48.0,53.0,43.0,45.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 12:00:00,22.7,122.7,140,50.0,985.0,50.0,65.0,45.0,50.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 15:00:00,23.1,122.6,122,50.0,985.0,50.0,65.0,45.0,50.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 18:00:00,23.7,122.6,111,50.0,985.0,50.0,65.0,45.0,50.0,30.0,3
2013237N11129,KONG-REY,2013-08-28 21:00:00,24.4,122.5,61,48.0,987.0,50.0,65.0,45.0,50.0,30.0,3
2013237N11129,KONG-REY,2013-08-29 00:00:00,25.1,122.5,51,45.0,989.0,50.0,65.0,45.0,50.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 03:00:00,25.7,122.4,87,43.0,991.0,45.0,50.0,40.0,45.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 06:00:00,26.1,122.3,122,40.0,993.0,40.0,35.0,35.0,40.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 09:00:00,26.4,122.3,151,40.0,993.0,38.0,33.0,33.0,38.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 12:00:00,26.7,122.3,181,40.0,993.0,35.0,30.0,30.0,35.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 15:00:00,27.0,122.4,163,38.0,995.0,35.0,30.0,30.0,35.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 18:00:00,27.4,122.7,147,35.0,996.0,35.0,30.0,30.0,35.0,30.0,2
2013237N11129,KONG-REY,2013-08-29 21:00:00,28.0,123.0,141,35.0,996.0,35.0,30.0,30.0,35.0,30.0,2
2013237N11129,KONG-REY,2013-08-30 00:00:00,28.7,123.5,156,35.0,996.0,35.0,30.0,30.0,35.0,30.0,2
