SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2016279N19130,AERE,2016-10-07 15:00:00,21.0,116.1,192,53.0,988.0,100.0,60.0,60.0,80.0,25.0,3
2016279N19130,AERE,2016-10-07 18:00:00,21.1,116.1,181,50.0,985.0,100.0,60.0,60.0,80.0,25.0,3
2016279N19130,AERE,2016-10-07 21:00:00,21.2,116.2,172,50.0,989.0,100.0,60.0,60.0,80.0,25.0,3
2016279N19130,AERE,2016-10-08 00:00:00,21.2,116.3,175,50.0,993.0,100.0,60.0,60.0,80.0,25.0,3
2016279N19130,AERE,2016-10-08 03:00:00,21.3,116.4,168,48.0,991.0,100.0,60.0,65.0,80.0,25.0,3
2016279N19130,AERE,2016-10-08 06:00:00,21.4,116.5,161,45.0,989.0,100.0,60.0,70.0,80.0,25.0,3
2016279N19130,AERE,2016-10-08 09:00:00,21.5,116.7,157,43.0,991.0,100.0,60.0,70.0,80.0,25.0,3
2016279N19130,AERE,2016-10-08 12:00:00,21.6,116.9,151,40.0,993.0,100.0,60.0,70.0,80.0,25.0,2
2016279N19130,AERE,2016-10-08 15:00:00,21.7,117.1,147,40.0,997.0,100.0,60.0,65.0,80.0,25.0,2
2016279N19130,AERE,2016-10-08 18:00:00,21.7,117.2,152,40.0,1000.0,100.0,60.0,60.0,80.0,25.0,2
2016279N19130,AERE,2016-10-08 21:00:00,21.7,117.3,157,43.0,995.0,115.0,60.0,60.0,90.0,33.0,2
2016279N19130,AERE,2016-10-09 00:00:00,21.7,117.4,162,45.0,989.0,130.0,60.0,60.0,100.0,40.0,2
2016279N19130,AERE,2016-10-09 03:00:00,21.7,117.5,169,43.0,991.0,130.0,60.0,60.0,100.0,40.0,2
2016279N19130,AERE,2016-10-09 06:00:00,21.7,117.6,175,40.0,993.0,130.0,60.0,60.0,100.0,40.0,2
2016279N19130,AERE,2016-10-09 09:00:00,21.7,117.8,189,38.0,995.0,130.0,60.0,60.0,100.0,40.0,2
2016279N19130,AERE,2016-10-09 12:00:00,21.7,117.8,189,35.0,996.0,130.0,60.0,60.0,100.0,40.0,2
2016279N19130,AERE,2016-10-09 15:00:00,21.7,117.8,189,33.0,998.0,,,,,40.0,2
2016279N19130,AERE,2016-10-09 18:00:00,21.7,117.8,189,30.0,1000.0,,,,,40.0,2
2016279N19130,AERE,2016-10-09 21:00:00,21.7,117.8,189,28.0,1002.0,,,,,40.0,2
2016279N19130,AERE,2016-10-10 00:00:00,21.6,117.7,190,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-10 03:00:00,21.5,117.5,187,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-10 06:00:00,21.5,117.3,176,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-10 09:00:00,21.3,117.0,186,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-10 12:00:00,21.1,116.7,199,25.0,1004.0,,,,,40.0,1
2016279N19130,AERE,2016-10-12 21:00:00,16.6,110.4,193,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-13 00:00:00,16.6,109.8,173,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-13 03:00:00,16.6,109.3,126,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-13 06:00:00,16.6,108.8,85,25.0,1004.0,,,,,40.0,2
2016279N19130,AERE,2016-10-13 09:00:00,16.5,108.4,46,30.0,1000.0,,,,,40.0,2
2016279N19130,AERE,2016-10-13 12:00:00,16.5,108.1,33,35.0,996.0,40.0,40.0,50.0,60.0,40.0,2
2016279N19130,AERE,2016-10-13 15:00:00,16.5,107.8,11,35.0,996.0,35.0,40.0,50.0,55.0,40.0,2
2016279N19130,AERE,2016-10-13 18:00:00,16.5,107.4,0,35.0,996.0,30.0,40.0,50.0,50.0,40.0,2
