SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2019214N15134,LEKIMA,2019-08-09 06:00:00,27.1,122.5,160,105.0,925.0,250.0,180.0,170.0,200.0,5.0,5
2019214N15134,LEKIMA,2019-08-09 09:00:00,27.3,122.2,125,103.0,928.0,250.0,170.0,165.0,200.0,5.0,5
2019214N15134,LEKIMA,2019-08-09 12:00:00,27.5,122.0,96,100.0,931.0,250.0,160.0,160.0,200.0,5.0,5
2019214N15134,LEKIMA,2019-08-09 15:00:00,27.9,121.7,44,95.0,935.0,225.0,150.0,150.0,180.0,6.0,5
2019214N15134,LEKIMA,2019-08-09 18:00:00,28.3,121.4,0,90.0,939.0,200.0,140.0,140.0,160.0,7.0,6
2019214N15134,LEKIMA,2019-08-09 21:00:00,28.7,121.1,0,83.0,946.0,180.0,135.0,130.0,140.0,11.0,4
2019214N15134,LEKIMA,2019-08-10 00:00:00,29.1,120.8,0,75.0,953.0,160.0,130.0,120.0,120.0,15.0,4
2019214N15134,LEKIMA,2019-08-10 03:00:00,29.5,120.6,0,68.0,959.0,150.0,125.0,120.0,120.0,11.0,3
2019214N15134,LEKIMA,2019-08-10 06:00:00,30.0,120.4,0,60.0,965.0,140.0,120.0,120.0,120.0,7.0,3
2019214N15134,LEKIMA,2019-08-10 09:00:00,30.4,120.4,0,58.0,967.0,130.0,110.0,90.0,105.0,6.0,3
2019214N15134,LEKIMA,2019-08-10 12:00:00,30.8,120.5,0,55.0,969.0,120.0,100.0,60.0,90.0,5.0,2
2019214N15134,LEKIMA,2019-08-10 15:00:00,31.3,120.5,0,53.0,969.0,115.0,100.0,60.0,90.0,15.0,2
2019214N15134,LEKIMA,2019-08-10 18:00:00,31.9,120.6,0,50.0,968.0,110.0,100.0,60.0,90.0,25.0,2
2019214N15134,LEKIMA,2019-08-10 21:00:00,32.7,120.6,0,45.0,973.0,105.0,100.0,60.0,90.0,30.0,2
2019214N15134,LEKIMA,2019-08-11 00:00:00,33.5,120.4,0,40.0,977.0,100.0,100.0,60.0,90.0,35.0,2
2019214N15134,LEKIMA,2019-08-11 03:00:00,34.2,120.1,0,40.0,981.0,110.0,100.0,55.0,90.0,35.0,2
2019214N15134,LEKIMA,2019-08-11 06:00:00,34.9,119.9,42,40.0,984.0,120.0,100.0,50.0,90.0,35.0,2
2019214N15134,LEKIMA,2019-08-11 09:00:00,35.4,120.0,24,40.0,983.0,170.0,100.0,40.0,90.0,28.0,2
2019214N15134,LEKIMA,2019-08-11 12:00:00,36.0,120.1,0,40.0,982.0,220.0,100.0,30.0,90.0,20.0,2
2019214N15134,LEKIMA,2019-08-11 15:00:00,36.6,120.1,0,38.0,981.0,200.0,100.0,25.0,90.0,20.0,2
2019214N15134,LEKIMA,2019-08-11 18:00:00,37.1,119.9,0,35.0,980.0,180.0,100.0,20.0,90.0,20.0,2
