SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2021248N12141,CHANTHU,2021-09-10 00:00:00,17.1,124.1,170,135.0,928.0,80.0,75.0,65.0,75.0,5.0,6
2021248N12141,CHANTHU,2021-09-10 03:00:00,17.4,123.7,135,140.0,922.0,85.0,78.0,68.0,78.0,5.0,6
2021248N12141,CHANTHU,2021-09-10 06:00:00,17.8,123.5,129,145.0,916.0,90.0,80.0,70.0,80.0,5.0,6
2021248N12141,CHANTHU,2021-09-10 09:00:00,18.3,123.2,95,148.0,914.0,93.0,85.0,75.0,85.0,5.0,6
2021248N12141,CHANTHU,2021-09-10 12:00:00,18.7,122.9,71,150.0,911.0,95.0,90.0,80.0,90.0,5.0,6
2021248N12141,CHANTHU,2021-09-10 15:00:00,19.1,122.5,81,153.0,907.0,103.0,95.0,83.0,95.0,9.0,6
2021248N12141,CHANTHU,2021-09-10 18:00:00,19.5,122.3,123,155.0,902.0,110.0,100.0,85.0,100.0,12.0,6
2021248N12141,CHANTHU,2021-09-10 21:00:00,19.9,122.1,167,150.0,909.0,118.0,105.0,88.0,100.0,12.0,6
2021248N12141,CHANTHU,2021-09-11 03:00:00,20.7,121.7,157,138.0,920.0,133.0,115.0,93.0,103.0,9.0,6
2021248N12141,CHANTHU,2021-09-11 06:00:00,21.0,121.5,118,130.0,925.0,140.0,120.0,95.0,105.0,5.0,6
2021248N12141,CHANTHU,2021-09-11 09:00:00,21.4,121.6,91,120.0,935.0,143.0,123.0,98.0,90.0,5.0,6
2021248N12141,CHANTHU,2021-09-11 12:00:00,21.8,121.8,93,110.0,945.0,145.0,125.0,100.0,75.0,5.0,6
2021248N12141,CHANTHU,2021-09-11 15:00:00,22.3,121.9,98,110.0,945.0,143.0,125.0,90.0,75.0,5.0,6
2021248N12141,CHANTHU,2021-09-11 18:00:00,22.8,122.0,69,110.0,944.0,140.0,125.0,80.0,75.0,5.0,6
2021248N12141,CHANTHU,2021-09-11 21:00:00,23.3,122.2,81,108.0,946.0,138.0,125.0,70.0,68.0,6.0,6
2021248N12141,CHANTHU,2021-09-12 00:00:00,23.8,122.3,78,105.0,948.0,135.0,125.0,60.0,60.0,7.0,6
2021248N12141,CHANTHU,2021-09-12 03:00:00,24.6,122.4,51,105.0,946.0,133.0,135.0,63.0,70.0,6.0,6
2021248N12141,CHANTHU,2021-09-12 06:00:00,25.2,122.3,37,105.0,943.0,130.0,145.0,65.0,80.0,5.0,5
2021248N12141,CHANTHU,2021-09-12 09:00:00,25.8,122.4,97,100.0,946.0,128.0,155.0,68.0,90.0,5.0,5
2021248N12141,CHANTHU,2021-09-12 12:00:00,26.3,122.7,161,95.0,949.0,125.0,165.0,70.0,100.0,5.0,5
2021248N12141,CHANTHU,2021-09-12 18:00:00,27.6,123.1,166,90.0,953.0,160.0,155.0,90.0,140.0,5.0,5
2021248N12141,CHANTHU,2021-09-12 21:00:00,28.3,123.3,161,88.0,956.0,173.0,150.0,108.0,163.0,5.0,5
2021248N12141,CHANTHU,2021-09-13 00:00:00,29.1,123.6,155,85.0,959.0,185.0,145.0,125.0,185.0,5.0,5
2021248N12141,CHANTHU,2021-09-13 03:00:00,30.0,123.5,155,80.0,964.0,175.0,143.0,125.0,178.0,8.0,5
2021248N12141,CHANTHU,2021-09-13 06:00:00,30.7,123.4,144,75.0,968.0,165.0,140.0,125.0,170.0,10.0,5
2021248N12141,CHANTHU,2021-09-13 09:00:00,30.9,123.3,133,70.0,972.0,160.0,138.0,125.0,165.0,13.0,5
2021248N12141,CHANTHU,2021-09-13 12:00:00,31.0,123.3,133,65.0,975.0,155.0,135.0,125.0,160.0,15.0,5
2021248N12141,CHANTHU,2021-09-13 15:00:00,31.2,123.4,146,60.0,978.0,150.0,133.0,123.0,155.0,18.0,5
2021248N12141,CHANTHU,2021-09-13 18:00:00,31.4,123.5,155,55.0,980.0,145.0,130.0,120.0,150.0,20.0,4
2021248N12141,CHANTHU,2021-09-13 21:00:00,31.4,123.7,173,48.0,985.0,140.0,125.0,120.0,143.0,25.0,4
2021248N12141,CHANTHU,2021-09-14 00:00:00,31.3,123.8,185,40.0,990.0,135.0,120.0,120.0,135.0,30.0,3
2021248N12141,CHANTHU,2021-09-16 12:00:00,31.6,125.8,184,50.0,986.0,100.0,100.0,100.0,100.0,25.0,3
2021248N12141,CHANTHU,2021-09-16 15:00:00,31.9,126.1,146,48.0,988.0,108.0,108.0,100.0,98.0,25.0,3
2021248N12141,CHANTHU,2021-09-16 18:00:00,32.3,126.4,100,45.0,989.0,115.0,115.0,100.0,95.0,25.0,3
2021248N12141,CHANTHU,2021-09-16 21:00:00,32.6,126.9,72,43.0,992.0,108.0,118.0,98.0,90.0,25.0,3
2021248N12141,CHANTHU,2021-09-17 00:00:00,32.9,127.5,78,40.0,994.0,100.0,120.0,95.0,85.0,25.0,2
2021248N12141,CHANTHU,2021-09-17 03:00:00,33.2,128.3,120,40.0,994.0,88.0,105.0,83.0,70.0,25.0,2
2021248N12141,CHANTHU,2021-09-17 06:00:00,33.5,129.2,43,40.0,993.0,75.0,90.0,70.0,55.0,25.0,2
2021248N12141,CHANTHU,2021-09-17 09:00:00,33.7,130.3,9,38.0,996.0,63.0,75.0,60.0,48.0,23.0,2
2021248N12141,CHANTHU,2021-09-17 12:00:00,33.8,131.6,22,35.0,999.0,50.0,60.0,50.0,40.0,20.0,2
