SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2023239N18144,HAIKUI,2023-09-02 18:00:00,22.6,123.2,192,90.0,958.0,100.0,70.0,75.0,90.0,15.0,5
2023239N18144,HAIKUI,2023-09-02 21:00:00,22.5,122.9,167,95.0,954.0,105.0,70.0,70.0,85.0,15.0,5
2023239N18144,HAIKUI,2023-09-03 00:00:00,22.6,122.6,135,100.0,951.0,105.0,65.0,65.0,85.0,5.0,5
2023239N18144,HAIKUI,2023-09-03 03:00:00,22.7,122.1,84,103.0,948.0,108.0,65.0,63.0,83.0,9.0,5
2023239N18144,HAIKUI,2023-09-03 06:00:00,22.9,121.5,23,105.0,945.0,110.0,65.0,60.0,80.0,12.0,5
2023239N18144,HAIKUI,2023-09-03 09:00:00,22.9,120.8,0,95.0,955.0,113.0,63.0,55.0,80.0,14.0,5
2023239N18144,HAIKUI,2023-09-03 12:00:00,22.8,120.2,0,85.0,965.0,115.0,60.0,50.0,80.0,15.0,4
2023239N18144,HAIKUI,2023-09-03 15:00:00,22.6,120.0,30,78.0,968.0,120.0,60.0,53.0,83.0,18.0,4
2023239N18144,HAIKUI,2023-09-03 18:00:00,22.6,120.1,20,70.0,971.0,125.0,60.0,55.0,85.0,20.0,4
2023239N18144,HAIKUI,2023-09-03 21:00:00,22.9,120.1,10,70.0,971.0,135.0,65.0,60.0,95.0,20.0,3
2023239N18144,HAIKUI,2023-09-04 00:00:00,23.2,119.8,30,65.0,973.0,140.0,70.0,70.0,100.0,20.0,3
2023239N18144,HAIKUI,2023-09-04 03:00:00,23.2,119.5,61,65.0,973.0,130.0,70.0,75.0,100.0,20.0,3
2023239N18144,HAIKUI,2023-09-04 06:00:00,23.2,119.2,91,50.0,984.0,130.0,70.0,75.0,100.0,15.0,3
2023239N18144,HAIKUI,2023-09-04 09:00:00,23.4,119.0,114,45.0,987.0,100.0,70.0,85.0,100.0,15.0,3
2023239N18144,HAIKUI,2023-09-04 12:00:00,23.6,118.6,84,40.0,992.0,60.0,40.0,45.0,60.0,15.0,2
2023239N18144,HAIKUI,2023-09-04 15:00:00,23.6,118.1,45,38.0,994.0,50.0,30.0,40.0,50.0,18.0,2
2023239N18144,HAIKUI,2023-09-04 18:00:00,23.6,117.5,15,35.0,996.0,40.0,20.0,35.0,40.0,20.0,2
