SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2023271N14144,KOINU,2023-10-04 06:00:00,22.1,122.7,174,115.0,940.0,120.0,135.0,125.0,140.0,20.0,6
2023271N14144,KOINU,2023-10-04 09:00:00,22.1,122.3,143,118.0,938.0,123.0,133.0,128.0,150.0,16.0,6
2023271N14144,KOINU,2023-10-04 12:00:00,22.0,122.0,113,120.0,936.0,125.0,130.0,130.0,160.0,12.0,6
2023271N14144,KOINU,2023-10-04 15:00:00,22.0,121.6,72,120.0,936.0,128.0,130.0,133.0,170.0,14.0,6
2023271N14144,KOINU,2023-10-04 18:00:00,21.9,121.3,41,120.0,936.0,130.0,130.0,135.0,180.0,15.0,6
2023271N14144,KOINU,2023-10-04 21:00:00,21.9,121.1,20,115.0,942.0,133.0,133.0,138.0,190.0,14.0,6
2023271N14144,KOINU,2023-10-05 00:00:00,22.0,120.8,0,110.0,947.0,135.0,135.0,140.0,200.0,12.0,5
2023271N14144,KOINU,2023-10-05 03:00:00,22.0,120.4,30,100.0,954.0,138.0,125.0,130.0,188.0,14.0,5
2023271N14144,KOINU,2023-10-05 06:00:00,22.1,120.0,54,90.0,961.0,140.0,115.0,120.0,175.0,15.0,4
2023271N14144,KOINU,2023-10-05 09:00:00,22.1,119.5,93,85.0,966.0,145.0,103.0,105.0,163.0,15.0,4
2023271N14144,KOINU,2023-10-05 12:00:00,22.0,119.1,135,80.0,971.0,150.0,90.0,90.0,150.0,15.0,4
2023271N14144,KOINU,2023-10-05 15:00:00,22.0,118.7,173,75.0,975.0,150.0,88.0,90.0,145.0,15.0,4
2023271N14144,KOINU,2023-10-05 21:00:00,21.9,118.0,190,80.0,972.0,150.0,83.0,90.0,135.0,10.0,4
2023271N14144,KOINU,2023-10-06 00:00:00,21.8,117.7,174,90.0,965.0,150.0,80.0,90.0,130.0,5.0,4
2023271N14144,KOINU,2023-10-06 03:00:00,21.7,117.3,157,95.0,961.0,150.0,78.0,93.0,125.0,5.0,4
2023271N14144,KOINU,2023-10-06 06:00:00,21.7,116.9,140,100.0,956.0,150.0,75.0,95.0,120.0,5.0,5
2023271N14144,KOINU,2023-10-06 09:00:00,21.6,116.6,143,100.0,957.0,150.0,75.0,95.0,118.0,5.0,5
2023271N14144,KOINU,2023-10-06 12:00:00,21.4,116.3,154,100.0,957.0,150.0,75.0,95.0,115.0,5.0,5
2023271N14144,KOINU,2023-10-06 15:00:00,21.3,116.0,157,103.0,955.0,125.0,68.0,83.0,103.0,5.0,5
2023271N14144,KOINU,2023-10-06 18:00:00,21.2,115.7,167,105.0,953.0,100.0,60.0,70.0,90.0,5.0,5
2023271N14144,KOINU,2023-10-06 21:00:00,21.1,115.6,172,103.0,956.0,83.0,55.0,60.0,80.0,5.0,5
2023271N14144,KOINU,2023-10-07 00:00:00,21.1,115.4,164,100.0,958.0,65.0,50.0,50.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 03:00:00,21.1,115.3,161,103.0,956.0,65.0,50.0,48.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 06:00:00,21.2,115.2,148,105.0,953.0,65.0,50.0,45.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 09:00:00,21.2,115.2,148,103.0,955.0,68.0,50.0,43.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 12:00:00,21.3,115.1,135,100.0,957.0,70.0,50.0,40.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 15:00:00,21.3,115.0,133,93.0,963.0,73.0,50.0,45.0,70.0,5.0,5
2023271N14144,KOINU,2023-10-07 18:00:00,21.4,114.9,118,85.0,968.0,75.0,50.0,50.0,70.0,5.0,4
2023271N14144,KOINU,2023-10-07 21:00:00,21.4,114.8,113,80.0,973.0,78.0,50.0,55.0,70.0,10.0,4
2023271N14144,KOINU,2023-10-08 00:00:00,21.5,114.6,94,75.0,977.0,80.0,50.0,60.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 01:00:00,21.5,114.6,94,76.0,976.0,78.0,48.0,57.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 02:00:00,21.5,114.5,91,77.0,976.0,77.0,47.0,53.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 03:00:00,21.5,114.5,91,78.0,975.0,75.0,45.0,50.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 04:00:00,21.6,114.4,78,78.0,974.0,73.0,43.0,47.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 05:00:00,21.6,114.4,78,79.0,974.0,72.0,42.0,43.0,70.0,15.0,4
2023271N14144,KOINU,2023-10-08 06:00:00,21.6,114.3,78,80.0,973.0,70.0,40.0,40.0,70.0,15.0,5
2023271N14144,KOINU,2023-10-08 07:00:00,21.6,114.3,78,82.0,972.0,67.0,38.0,38.0,66.0,14.0,5
2023271N14144,KOINU,2023-10-08 08:00:00,21.6,114.2,78,83.0,971.0,65.0,37.0,37.0,62.0,12.0,5
2023271N14144,KOINU,2023-10-08 09:00:00,21.6,114.2,78,85.0,971.0,63.0,35.0,35.0,58.0,11.0,5
2023271N14144,KOINU,2023-10-08 10:00:00,21.7,114.1,70,87.0,970.0,60.0,33.0,33.0,53.0,10.0,5
2023271N14144,KOINU,2023-10-08 11:00:00,21.7,114.1,70,88.0,969.0,57.0,32.0,32.0,49.0,8.0,5
2023271N14144,KOINU,2023-10-08 12:00:00,21.7,114.0,73,90.0,968.0,55.0,30.0,30.0,45.0,7.0,5
2023271N14144,KOINU,2023-10-08 13:00:00,21.7,114.0,73,87.0,970.0,51.0,29.0,29.0,42.0,7.0,5
2023271N14144,KOINU,2023-10-08 14:00:00,21.7,113.9,69,83.0,972.0,47.0,28.0,28.0,40.0,6.0,5
2023271N14144,KOINU,2023-10-08 15:00:00,21.7,113.8,63,80.0,975.0,43.0,28.0,28.0,38.0,6.0,5
2023271N14144,KOINU,2023-10-08 16:00:00,21.7,113.8,63,77.0,977.0,38.0,27.0,27.0,35.0,6.0,5
2023271N14144,KOINU,2023-10-08 17:00:00,21.7,113.7,59,73.0,979.0,34.0,26.0,26.0,32.0,5.0,5
2023271N14144,KOINU,2023-10-08 18:00:00,21.7,113.7,59,70.0,981.0,30.0,25.0,25.0,30.0,5.0,4
2023271N14144,KOINU,2023-10-08 19:00:00,21.7,113.6,54,67.0,983.0,27.0,23.0,23.0,27.0,5.0,4
2023271N14144,KOINU,2023-10-08 20:00:00,21.7,113.5,49,63.0,985.0,25.0,22.0,22.0,25.0,5.0,4
2023271N14144,KOINU,2023-10-08 21:00:00,21.7,113.4,45,60.0,988.0,23.0,20.0,20.0,23.0,5.0,4
2023271N14144,KOINU,2023-10-08 22:00:00,21.7,113.4,45,57.0,990.0,20.0,18.0,18.0,20.0,5.0,4
2023271N14144,KOINU,2023-10-08 23:00:00,21.7,113.3,38,53.0,992.0,17.0,17.0,17.0,17.0,5.0,4
2023271N14144,KOINU,2023-10-09 00:00:00,21.7,113.3,38,50.0,994.0,15.0,15.0,15.0,15.0,5.0,3
2023271N14144,KOINU,2023-10-09 03:00:00,21.6,113.0,33,45.0,996.0,13.0,13.0,15.0,15.0,5.0,3
2023271N14144,KOINU,2023-10-09 06:00:00,21.5,112.7,35,40.0,997.0,10.0,10.0,15.0,15.0,5.0,2
2023271N14144,KOINU,2023-10-09 09:00:00,21.4,112.5,39,35.0,999.0,5.0,5.0,7.0,7.0,5.0,2
