SID,NAME,ISO_TIME,LAT,LON,DIST2LAND,USA_WIND,USA_PRES,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_RMW,CMA_CAT
2024271N22127,KRATHON,2024-09-29 06:00:00,19.3,123.9,196,80.0,973.0,126.0,117.0,87.0,78.0,30.0,4
2024271N22127,KRATHON,2024-09-29 09:00:00,19.5,123.4,168,87.0,967.0,126.0,117.0,87.0,78.0,27.0,4
2024271N22127,KRATHON,2024-09-29 12:00:00,19.8,123.0,173,93.0,961.0,126.0,117.0,87.0,78.0,23.0,5
2024271N22127,KRATHON,2024-09-29 15:00:00,19.9,122.6,170,99.0,956.0,163.0,154.0,113.0,117.0,19.0,5
2024271N22127,KRATHON,2024-09-29 18:00:00,19.9,122.3,167,105.0,950.0,200.0,191.0,139.0,156.0,15.0,6
2024271N22127,KRATHON,2024-09-29 21:00:00,20.0,122.2,178,110.0,945.0,200.0,191.0,139.0,156.0,15.0,6
2024271N22127,KRATHON,2024-09-30 00:00:00,20.1,122.0,189,115.0,940.0,200.0,191.0,139.0,156.0,15.0,6
2024271N22127,KRATHON,2024-09-30 03:00:00,20.3,121.7,197,117.0,938.0,155.0,156.0,130.0,130.0,15.0,6
2024271N22127,KRATHON,2024-09-30 06:00:00,20.5,121.2,159,119.0,935.0,109.0,121.0,121.0,104.0,15.0,6
2024271N22127,KRATHON,2024-09-30 09:00:00,20.5,120.8,156,122.0,934.0,129.0,126.0,135.0,113.0,14.0,6
2024271N22127,KRATHON,2024-09-30 12:00:00,20.5,120.4,159,124.0,932.0,148.0,131.0,148.0,121.0,12.0,6
2024271N22127,KRATHON,2024-09-30 15:00:00,20.5,120.2,164,126.0,930.0,137.0,124.0,148.0,121.0,11.0,6
2024271N22127,KRATHON,2024-09-30 18:00:00,20.6,120.0,162,128.0,927.0,126.0,117.0,148.0,121.0,10.0,6
2024271N22127,KRATHON,2024-09-30 21:00:00,20.6,119.8,172,128.0,927.0,126.0,117.0,148.0,121.0,10.0,6
2024271N22127,KRATHON,2024-10-01 00:00:00,20.6,119.6,184,128.0,927.0,126.0,117.0,148.0,121.0,10.0,6
2024271N22127,KRATHON,2024-10-01 03:00:00,20.7,119.5,182,126.0,929.0,120.0,122.0,140.0,117.0,11.0,6
2024271N22127,KRATHON,2024-10-01 06:00:00,20.9,119.5,167,124.0,931.0,113.0,126.0,131.0,113.0,12.0,6
2024271N22127,KRATHON,2024-10-01 09:00:00,21.1,119.4,161,117.0,937.0,129.0,137.0,135.0,126.0,12.0,6
2024271N22127,KRATHON,2024-10-01 12:00:00,21.2,119.3,164,109.0,943.0,144.0,148.0,139.0,139.0,12.0,6
2024271N22127,KRATHON,2024-10-01 15:00:00,21.4,119.2,164,107.0,947.0,124.0,135.0,107.0,109.0,12.0,6
2024271N22127,KRATHON,2024-10-01 18:00:00,21.5,119.2,159,105.0,950.0,104.0,121.0,74.0,78.0,12.0,5
2024271N22127,KRATHON,2024-10-01 21:00:00,21.5,119.2,159,102.0,953.0,104.0,121.0,74.0,78.0,12.0,5
2024271N22127,KRATHON,2024-10-02 00:00:00,21.6,119.3,144,99.0,956.0,104.0,121.0,74.0,78.0,12.0,5
2024271N22127,KRATHON,2024-10-02 03:00:00,21.7,119.3,136,99.0,957.0,107.0,113.0,81.0,98.0,12.0,5
2024271N22127,KRATHON,2024-10-02 06:00:00,21.9,119.4,114,99.0,957.0,109.0,104.0,87.0,117.0,12.0,5
2024271N22127,KRATHON,2024-10-02 09:00:00,22.0,119.5,99,99.0,957.0,109.0,104.0,87.0,117.0,12.0,5
2024271N22127,KRATHON,2024-10-02 12:00:00,22.0,119.5,99,99.0,957.0,109.0,104.0,87.0,117.0,12.0,5
2024271N22127,KRATHON,2024-10-02 15:00:00,22.1,119.6,84,94.0,959.0,87.0,81.0,87.0,117.0,8.0,5
2024271N22127,KRATHON,2024-10-02 18:00:00,22.2,119.7,70,89.0,960.0,65.0,57.0,87.0,117.0,4.0,5
2024271N22127,KRATHON,2024-10-02 21:00:00,22.3,119.9,46,82.0,963.0,65.0,57.0,83.0,117.0,4.0,4
2024271N22127,KRATHON,2024-10-03 00:00:00,22.4,120.0,32,74.0,965.0,65.0,57.0,78.0,117.0,4.0,4
2024271N22127,KRATHON,2024-10-03 03:00:00,22.5,120.2,10,69.0,970.0,65.0,57.0,78.0,115.0,8.0,4
2024271N22127,KRATHON,2024-10-03 06:00:00,22.6,120.4,0,64.0,975.0,65.0,57.0,78.0,113.0,12.0,4
2024271N22127,KRATHON,2024-10-03 09:00:00,22.7,120.5,0,55.0,987.0,57.0,68.0,50.0,65.0,15.0,4
2024271N22127,KRATHON,2024-10-03 12:00:00,22.7,120.6,0,45.0,999.0,48.0,78.0,22.0,17.0,17.0,3
2024271N22127,KRATHON,2024-10-03 15:00:00,22.7,120.7,0,35.0,1001.0,24.0,39.0,11.0,8.0,17.0,2
